#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,KK Cedevita Olimpija Junior,4,40.0,89.3,30.5,61.5,0.496,9.3,23.8,0.389,19.0,25.8,0.738,13.0,24.3,37.3,20.8,9.5,2.5,19.3,24.0,2018,Adriatic-Junior-Liga-ABA,0
2,KK Mega Leks U18,6,40.0,85.5,30.5,66.7,0.458,5.8,19.0,0.307,18.7,27.2,0.687,13.3,29.5,42.8,16.3,9.0,6.0,15.8,18.3,2018,Adriatic-Junior-Liga-ABA,0
3,KK Cibona U18,4,40.0,84.8,33.3,66.0,0.504,7.3,18.8,0.387,11.0,14.3,0.772,10.5,20.0,30.5,22.8,11.8,3.5,18.0,19.8,2018,Adriatic-Junior-Liga-ABA,0
4,KK Crvena Zvezda Youth,6,40.0,83.2,32.3,73.2,0.442,4.7,19.2,0.243,13.8,21.7,0.638,16.2,26.0,42.2,17.2,11.2,5.7,14.7,20.2,2018,Adriatic-Junior-Liga-ABA,0
5,Igokea U19,6,40.0,79.3,29.8,65.2,0.458,6.0,19.8,0.303,13.7,22.2,0.617,12.7,24.0,36.7,20.2,10.3,1.8,19.2,22.0,2018,Adriatic-Junior-Liga-ABA,0
6,KK Partizan U18,4,40.0,78.3,27.8,65.0,0.427,6.0,17.0,0.353,16.8,21.0,0.798,11.3,25.3,36.5,17.3,6.3,3.0,17.5,19.3,2018,Adriatic-Junior-Liga-ABA,0
7,Union Olimpija U18,4,40.0,75.5,30.3,67.3,0.45,6.8,17.0,0.397,8.3,12.5,0.66,11.0,18.5,29.5,16.8,8.8,1.3,17.8,19.8,2018,Adriatic-Junior-Liga-ABA,0
8,Buducnost Voli Podgorica U18,6,40.0,74.8,25.2,57.5,0.438,6.0,20.2,0.298,18.5,24.8,0.745,8.2,18.3,26.5,15.3,9.7,1.2,17.8,23.0,2018,Adriatic-Junior-Liga-ABA,0
9,MZT Skopje Aerodrom U19,4,40.0,73.8,27.0,70.3,0.384,6.5,22.5,0.289,13.3,20.0,0.663,11.3,23.8,35.0,12.8,12.0,1.5,18.0,19.0,2018,Adriatic-Junior-Liga-ABA,1
10,Mornar U19,4,40.0,65.8,25.8,64.8,0.398,5.0,18.0,0.278,9.3,18.3,0.507,8.8,22.0,30.8,15.3,8.3,5.8,24.3,23.8,2018,Adriatic-Junior-Liga-ABA,0
