#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,KK Mega Leks U18,4,40.0,99.8,36.3,65.3,0.556,4.8,17.5,0.271,22.5,29.8,0.756,13.0,34.5,47.5,22.0,8.3,4.5,19.8,22.8,2023,Adriatic-Junior-Liga-ABA
2,Zadar U19,2,40.0,92.0,32.0,67.5,0.474,11.0,29.0,0.379,17.0,24.0,0.708,8.0,30.5,38.5,19.0,9.5,5.5,17.5,21.0,2023,Adriatic-Junior-Liga-ABA
3,Studentski Centar Podgorica U19,2,40.0,89.5,31.5,62.5,0.504,7.5,24.0,0.313,19.0,27.0,0.704,11.0,28.0,39.0,19.0,7.5,3.0,16.5,24.0,2023,Adriatic-Junior-Liga-ABA
4,KK Crvena Zvezda Youth,4,40.0,86.8,29.5,66.8,0.442,5.8,23.8,0.242,22.0,29.3,0.752,12.5,25.3,37.8,19.3,6.5,2.5,12.8,25.5,2023,Adriatic-Junior-Liga-ABA
5,KK Cedevita Olimpija Junior,4,40.0,77.8,29.5,77.0,0.383,8.3,29.5,0.28,10.5,18.0,0.583,12.8,25.3,38.0,15.0,8.5,1.0,13.0,20.3,2023,Adriatic-Junior-Liga-ABA
6,KK Borac Youth,2,37.0,75.0,27.0,64.5,0.419,9.0,28.5,0.316,10.0,15.5,0.645,11.0,22.5,33.5,13.0,7.0,1.0,10.0,22.5,2023,Adriatic-Junior-Liga-ABA
7,Igokea U19,4,40.0,74.5,27.3,61.8,0.441,5.0,20.5,0.244,15.0,26.0,0.577,12.0,25.3,37.3,12.5,8.5,2.5,15.0,20.3,2023,Adriatic-Junior-Liga-ABA
8,Vojvodina U19,2,40.0,74.0,26.5,70.0,0.379,8.5,25.0,0.34,12.5,14.0,0.893,13.5,23.5,37.0,12.5,7.5,3.0,23.5,17.5,2023,Adriatic-Junior-Liga-ABA
9,Mornar U19,2,40.0,73.5,23.0,65.5,0.351,4.0,21.0,0.19,23.5,32.5,0.723,12.5,20.0,32.5,12.5,10.5,2.5,18.0,25.5,2023,Adriatic-Junior-Liga-ABA
10,Krka U19,2,40.0,70.5,25.0,69.0,0.362,10.0,40.0,0.25,10.5,17.5,0.6,13.0,15.0,28.0,13.0,12.5,2.0,15.0,27.0,2023,Adriatic-Junior-Liga-ABA
11,MZT Skopje Aerodrom U19,2,40.0,65.5,23.0,70.0,0.329,6.0,26.0,0.231,13.5,23.5,0.574,12.5,17.0,29.5,13.5,8.0,0.0,18.0,20.5,2023,Adriatic-Junior-Liga-ABA
12,KK Split Youth,2,40.0,62.0,25.0,64.0,0.391,3.0,20.5,0.146,9.0,14.0,0.643,15.0,28.5,43.5,15.5,7.5,5.0,21.5,16.5,2023,Adriatic-Junior-Liga-ABA
