#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,KK Mega Bemax,26,40.2,81.2,28.7,61.7,0.465,6.5,20.5,0.316,16.8,23.8,0.706,10.7,23.8,34.5,18.5,6.8,2.3,14.8,21.3,2014,Adriatic-League-Liga-ABA,0
2,KK Crvena Zvezda,27,40.2,77.3,28.4,60.3,0.471,5.9,17.8,0.328,14.7,22.2,0.662,10.5,23.8,34.3,15.8,7.0,3.0,13.0,22.7,2014,Adriatic-League-Liga-ABA,0
3,KK Cibona,28,40.4,76.7,27.2,55.5,0.489,7.1,19.8,0.36,14.9,21.4,0.695,7.8,25.8,33.6,17.7,4.6,1.5,14.4,23.2,2014,Adriatic-League-Liga-ABA,1
4,Vrsac Swisslion,26,40.0,76.0,25.5,60.5,0.421,8.8,28.3,0.31,16.3,22.7,0.718,10.2,20.5,30.7,16.7,7.0,2.2,12.3,22.0,2014,Adriatic-League-Liga-ABA,0
5,MZT Skopje Aerodrom,26,40.6,75.5,26.5,59.3,0.446,7.2,22.5,0.319,15.5,21.4,0.725,9.1,20.0,29.0,15.7,7.3,1.9,12.0,23.3,2014,Adriatic-League-Liga-ABA,0
6,Buducnost,26,40.2,73.9,25.4,57.3,0.443,6.7,23.5,0.286,16.4,22.9,0.715,8.8,23.0,31.8,14.1,6.0,2.2,12.2,23.3,2014,Adriatic-League-Liga-ABA,0
7,Cedevita,28,40.4,73.5,27.0,61.3,0.441,5.7,19.0,0.299,13.7,19.1,0.718,10.7,22.4,33.1,14.8,6.7,2.6,12.9,24.9,2014,Adriatic-League-Liga-ABA,0
8,KK Partizan,26,40.4,72.9,26.8,60.8,0.441,6.1,18.2,0.333,13.2,19.0,0.698,10.8,22.8,33.7,15.0,7.4,2.8,12.6,21.3,2014,Adriatic-League-Liga-ABA,0
9,Szolnoki Olaj,25,40.2,71.7,25.5,58.4,0.437,6.5,19.0,0.341,13.6,19.1,0.715,9.0,24.5,33.5,14.6,6.3,2.7,13.2,22.4,2014,Adriatic-League-Liga-ABA,0
10,BC Igokea,26,40.4,71.4,24.6,56.5,0.435,7.3,21.1,0.345,14.2,20.6,0.692,7.0,21.0,28.0,14.6,6.7,1.2,11.4,22.5,2014,Adriatic-League-Liga-ABA,0
11,Krka Novo Mesto,26,40.2,69.8,26.4,60.9,0.434,6.6,20.9,0.315,10.4,16.3,0.637,10.7,21.3,32.0,15.5,7.6,2.5,13.2,22.8,2014,Adriatic-League-Liga-ABA,0
12,BC Siroki,26,40.2,68.8,25.0,58.7,0.426,7.1,21.8,0.326,11.5,16.3,0.701,7.8,21.4,29.2,14.8,5.9,1.8,11.9,22.5,2014,Adriatic-League-Liga-ABA,0
13,Union Olimpija,26,40.4,68.8,25.4,61.1,0.416,6.1,21.6,0.283,11.7,19.9,0.585,11.7,22.8,34.4,14.4,6.5,2.1,13.2,24.3,2014,Adriatic-League-Liga-ABA,0
14,KK Zadar,26,40.2,68.3,25.0,59.0,0.423,5.7,19.3,0.295,12.6,18.3,0.691,9.1,20.2,29.3,13.5,6.0,2.4,13.2,22.4,2014,Adriatic-League-Liga-ABA,0
