#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,KK Partizan,26,40.0,93.2,31.7,58.8,0.54,11.4,24.8,0.461,18.3,23.1,0.794,7.3,21.0,28.3,19.9,7.2,3.3,11.7,22.3,2023,Adriatic-League-Liga-ABA
2,FMP Beograd,28,40.0,89.9,31.0,61.6,0.503,9.5,23.3,0.41,18.5,24.3,0.76,9.1,20.7,29.8,18.3,7.0,2.5,13.9,27.0,2023,Adriatic-League-Liga-ABA
3,Buducnost,28,39.9,87.1,30.9,61.3,0.504,8.5,22.8,0.371,16.9,21.8,0.774,9.4,21.0,30.4,16.1,6.8,2.8,10.6,22.8,2023,Adriatic-League-Liga-ABA
4,KK Crvena Zvezda,28,39.9,87.0,30.0,60.0,0.5,10.1,26.9,0.374,16.9,21.4,0.789,8.0,21.8,29.7,21.5,9.0,2.2,10.9,21.5,2023,Adriatic-League-Liga-ABA
5,KK Cedevita Olimpija Ljubljana,28,39.9,85.3,30.8,62.2,0.495,10.5,28.9,0.365,13.2,17.0,0.774,8.3,24.9,33.2,17.9,5.6,2.2,13.5,22.9,2023,Adriatic-League-Liga-ABA
6,KK Zadar,28,40.2,84.5,27.6,62.9,0.439,9.9,30.7,0.321,19.4,25.0,0.778,8.9,25.2,34.0,18.6,5.4,2.2,12.8,19.8,2023,Adriatic-League-Liga-ABA
7,KK Mega Bemax,28,40.2,84.3,29.7,62.0,0.48,7.5,23.2,0.322,17.4,23.6,0.736,9.1,23.2,32.3,18.4,6.1,3.2,13.5,23.0,2023,Adriatic-League-Liga-ABA
8,Studentski Centar Podgorica,26,40.2,84.2,29.3,63.6,0.461,8.8,24.7,0.359,16.7,21.9,0.764,9.5,21.7,31.2,17.9,6.3,2.8,13.5,24.6,2023,Adriatic-League-Liga-ABA
9,KK Mornar,26,40.0,83.3,29.0,65.3,0.443,9.3,29.1,0.32,16.0,21.6,0.742,11.2,21.2,32.4,15.9,4.7,2.4,13.1,19.8,2023,Adriatic-League-Liga-ABA
10,KK Borac Cacak,26,40.1,82.6,28.0,62.3,0.45,8.9,27.4,0.324,17.6,23.3,0.757,8.0,21.4,29.4,15.6,7.5,1.2,12.6,23.6,2023,Adriatic-League-Liga-ABA
11,KK Split,26,40.1,82.5,29.4,64.0,0.459,6.9,23.5,0.293,16.8,22.1,0.761,9.8,20.3,30.1,17.4,7.0,1.5,11.4,22.6,2023,Adriatic-League-Liga-ABA
12,BC Igokea,26,40.0,80.5,29.4,62.3,0.472,6.7,21.5,0.309,15.0,21.9,0.684,9.6,21.7,31.3,18.0,8.0,1.8,13.8,21.9,2023,Adriatic-League-Liga-ABA
13,MZT Skopje Aerodrom,26,40.1,80.3,28.2,63.5,0.443,9.7,27.9,0.347,14.3,18.8,0.759,7.8,20.2,28.0,16.3,6.5,1.6,11.4,24.8,2023,Adriatic-League-Liga-ABA
14,KK Cibona,26,40.9,79.7,28.2,62.5,0.45,8.0,24.8,0.323,15.3,21.2,0.723,7.3,22.0,29.3,18.1,6.1,1.7,12.2,24.7,2023,Adriatic-League-Liga-ABA
