#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,GTK Gliwice,10,40.0,95.5,34.5,68.0,0.507,10.5,27.5,0.382,16.0,19.0,0.842,9.0,24.8,33.8,21.3,7.4,2.0,12.4,21.4,2019,Alpe-Adria-Cup,0
2,Sencur Gorenjska Gradbena Druzba Kranj,6,40.0,90.8,33.5,63.5,0.528,9.5,21.0,0.452,14.3,20.7,0.694,9.8,21.0,30.8,20.3,5.8,1.5,12.5,19.0,2019,Alpe-Adria-Cup,0
3,Egis Kormend,12,40.0,89.0,32.4,64.2,0.505,8.8,23.1,0.383,15.3,19.2,0.8,7.6,24.6,32.2,18.2,8.7,1.8,12.8,20.5,2019,Alpe-Adria-Cup,1
4,Zalakeramia-ZTE KK,8,40.0,88.5,33.1,65.4,0.507,8.4,22.6,0.37,13.9,18.1,0.766,7.6,23.6,31.3,16.9,7.3,2.1,11.9,22.1,2019,Alpe-Adria-Cup,0
5,SLUNETA Usti nad Labem,8,40.0,86.5,32.1,65.4,0.491,9.8,26.6,0.366,12.5,16.8,0.746,9.3,26.6,35.9,21.9,6.3,2.6,13.8,22.4,2019,Alpe-Adria-Cup,0
6,BK Levicki Patrioti Levice,10,40.3,85.5,32.6,62.6,0.521,8.8,22.8,0.386,11.5,16.1,0.714,7.1,26.0,33.1,20.4,8.0,2.5,13.6,18.6,2019,Alpe-Adria-Cup,0
7,Hopsi Polzela,6,40.8,82.5,30.2,65.2,0.463,7.8,24.0,0.326,14.3,20.0,0.717,8.8,25.7,34.5,21.8,8.3,4.8,12.7,19.7,2019,Alpe-Adria-Cup,0
8,BK Decin,6,40.0,81.0,28.7,60.3,0.475,10.0,27.0,0.37,13.7,18.0,0.759,8.0,25.8,33.8,16.7,6.3,1.3,16.7,17.2,2019,Alpe-Adria-Cup,0
9,KK Skrljevo,12,40.0,79.8,28.2,64.1,0.44,8.5,26.8,0.318,15.0,23.3,0.645,11.0,20.7,31.7,15.4,7.3,2.3,13.1,20.9,2019,Alpe-Adria-Cup,0
10,KK Vrijednosnice Osijek,8,40.0,79.8,29.4,64.3,0.457,8.4,24.3,0.345,12.6,18.3,0.692,10.6,25.3,35.9,18.4,6.4,1.5,13.8,16.9,2019,Alpe-Adria-Cup,0
11,BC Hallmann Vienna,6,40.0,78.8,27.5,63.5,0.433,7.7,23.5,0.326,16.2,20.5,0.789,8.8,22.3,31.2,15.2,4.5,2.5,12.8,17.5,2019,Alpe-Adria-Cup,0
12,USK Praha,8,40.6,78.3,29.0,62.8,0.462,10.3,28.5,0.36,10.0,15.0,0.667,7.5,23.0,30.5,16.6,8.9,1.5,12.6,20.1,2019,Alpe-Adria-Cup,0
13,BK Klosterneuburg Dukes,6,40.0,77.0,27.5,59.5,0.462,7.0,23.0,0.304,15.0,20.0,0.75,7.2,23.3,30.5,17.7,8.7,1.8,17.0,21.7,2019,Alpe-Adria-Cup,0
14,UBSC Raiffeisen Graz,6,40.0,74.2,28.2,62.7,0.449,8.2,26.3,0.31,9.7,14.2,0.682,6.5,21.5,28.0,16.3,6.2,1.2,14.0,19.0,2019,Alpe-Adria-Cup,0
15,JBC MMCITE Brno,6,40.0,72.8,24.3,59.3,0.41,8.7,26.0,0.333,15.5,21.0,0.738,7.3,22.5,29.8,15.7,6.5,3.2,11.8,19.5,2019,Alpe-Adria-Cup,0
16,Arkadia Traiskirchen Lions,6,40.0,55.3,20.7,52.5,0.394,6.7,21.2,0.315,7.3,12.0,0.611,5.7,21.2,26.8,12.3,5.0,0.8,18.0,12.3,2019,Alpe-Adria-Cup,0
