#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,San Martin Corrientes,61,40.3,85.5,32.1,65.6,0.49,7.6,21.1,0.363,13.6,19.0,0.718,9.2,23.3,32.6,15.9,8.6,1.9,12.7,21.1,2016,Argentinian-Liga-A,0
2,Obras Sanitarias,59,40.4,83.1,29.3,63.3,0.463,7.1,21.3,0.336,17.3,22.6,0.764,7.8,24.1,31.8,13.2,7.4,2.2,12.1,19.3,2016,Argentinian-Liga-A,0
3,Penarol,60,40.3,83.1,28.7,64.8,0.444,9.8,27.7,0.355,15.8,21.4,0.739,7.3,25.5,32.8,15.8,8.2,2.4,12.1,22.1,2016,Argentinian-Liga-A,0
4,San Lorenzo de Almagro,71,40.2,82.7,30.0,65.1,0.46,8.3,22.9,0.362,14.5,19.8,0.733,8.9,26.7,35.6,12.6,7.0,2.5,11.3,20.3,2016,Argentinian-Liga-A,1
5,Gimnasia Indalo,60,40.2,82.7,29.9,61.8,0.483,9.6,24.8,0.388,13.4,17.6,0.761,7.5,27.0,34.5,14.3,5.5,2.7,12.2,19.6,2016,Argentinian-Liga-A,0
6,Ciclista Olimpico,65,40.1,81.7,28.6,64.6,0.443,9.9,28.0,0.353,14.5,18.8,0.771,9.4,26.4,35.7,14.7,6.4,4.7,11.4,20.0,2016,Argentinian-Liga-A,0
7,Libertad,65,40.2,81.6,28.8,62.8,0.459,8.4,24.4,0.343,15.6,20.7,0.754,7.9,25.1,33.1,12.4,6.7,1.7,11.7,19.9,2016,Argentinian-Liga-A,0
8,Quilmes,56,40.2,81.4,27.1,60.8,0.445,7.7,23.5,0.328,19.6,25.3,0.777,7.0,24.8,31.8,11.7,6.6,2.5,12.0,22.1,2016,Argentinian-Liga-A,0
9,Quimsa,58,40.3,80.6,28.2,61.1,0.462,9.0,24.6,0.366,15.2,19.7,0.771,7.7,25.7,33.3,12.2,5.4,2.9,10.9,22.0,2016,Argentinian-Liga-A,0
10,Lanus,56,40.3,80.0,28.4,60.3,0.471,7.6,21.8,0.349,15.8,21.2,0.744,6.3,24.7,30.9,11.2,6.7,1.8,12.1,20.7,2016,Argentinian-Liga-A,0
11,Regatas Corrientes,63,40.3,80.0,28.6,61.5,0.464,9.4,27.0,0.349,13.4,18.8,0.715,7.8,24.9,32.7,15.2,6.6,2.5,12.6,20.9,2016,Argentinian-Liga-A,0
12,La Union de Formosa,69,40.1,79.2,29.3,63.1,0.464,8.4,23.6,0.357,12.2,16.5,0.74,7.0,24.4,31.5,14.2,7.7,1.7,12.3,19.8,2016,Argentinian-Liga-A,0
13,Boca Juniors,56,40.6,78.8,28.8,61.5,0.469,7.4,20.5,0.361,13.8,17.9,0.768,7.7,25.4,33.1,12.4,6.0,1.5,11.6,19.0,2016,Argentinian-Liga-A,0
14,Atletico Argentino de Junin,62,40.6,77.3,27.7,62.6,0.443,7.2,22.1,0.326,14.7,19.3,0.76,7.4,24.7,32.1,14.1,7.0,2.1,11.8,21.1,2016,Argentinian-Liga-A,0
15,Asociacion Deportiva Atenas,55,40.4,77.1,26.4,58.8,0.448,7.0,21.3,0.326,17.5,22.4,0.78,8.3,23.3,31.5,12.7,5.9,1.9,11.7,21.0,2016,Argentinian-Liga-A,0
16,Ferrocarril Oeste Capital Federal,56,40.2,77.1,28.2,62.9,0.449,6.4,19.9,0.321,14.2,20.0,0.71,9.1,25.1,34.2,10.8,6.3,1.6,11.4,17.4,2016,Argentinian-Liga-A,0
17,Centro Juventud Sionista,55,40.1,76.1,27.3,62.6,0.436,7.5,23.1,0.324,14.0,20.6,0.683,9.9,23.8,33.7,11.0,7.5,1.8,12.2,21.5,2016,Argentinian-Liga-A,0
18,Instituto Atletico Central Cordoba,56,40.4,76.1,27.6,59.8,0.462,6.6,20.0,0.329,14.3,19.6,0.728,7.5,24.1,31.6,12.3,7.1,1.8,13.1,20.9,2016,Argentinian-Liga-A,0
19,Weber Bahia Estudiantes,69,40.1,76.0,27.4,63.8,0.43,6.9,22.5,0.306,14.3,21.2,0.674,8.9,25.1,34.0,12.7,8.2,1.7,12.4,21.1,2016,Argentinian-Liga-A,0
20,Estudiantes Concordia,56,40.3,75.0,27.5,64.6,0.426,6.3,21.3,0.295,13.7,20.1,0.68,9.0,27.6,36.6,10.9,5.8,2.5,12.2,20.6,2016,Argentinian-Liga-A,0
