#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Quimsa,40,38.8,87.0,30.8,63.6,0.484,9.9,27.6,0.36,15.5,20.6,0.754,7.8,28.9,36.6,15.9,6.1,2.5,9.2,18.3,2023,Argentinian-Liga-A
2,Boca Juniors,43,39.4,85.1,29.4,59.7,0.492,10.1,26.3,0.386,12.4,17.3,0.715,7.4,26.5,33.8,15.5,5.1,1.8,9.9,19.7,2023,Argentinian-Liga-A
3,Gimnasia Indalo,40,39.5,84.4,30.4,63.6,0.477,9.1,26.3,0.347,14.6,19.6,0.743,8.9,26.3,35.2,15.0,5.8,1.9,9.7,19.1,2023,Argentinian-Liga-A
4,Instituto Atletico Central Cordoba,40,39.4,83.6,25.6,55.0,0.465,9.1,24.7,0.369,18.4,23.3,0.787,6.8,22.0,28.8,11.8,6.7,1.1,8.6,21.1,2023,Argentinian-Liga-A
5,Riachuelo de la Rioja,44,39.3,83.4,29.3,63.0,0.465,7.3,22.3,0.328,16.0,21.9,0.732,8.8,25.8,34.7,12.7,6.8,1.9,10.3,21.2,2023,Argentinian-Liga-A
6,Ciclista Olimpico,42,39.3,83.0,29.6,63.3,0.467,9.0,26.8,0.335,13.3,19.0,0.702,8.0,25.8,33.9,13.1,7.4,2.0,9.2,20.1,2023,Argentinian-Liga-A
7,Obras Sanitarias,44,39.1,82.9,30.1,61.9,0.486,8.8,26.0,0.336,14.0,19.2,0.73,6.8,26.3,33.1,13.4,6.9,1.7,9.4,21.3,2023,Argentinian-Liga-A
8,Penarol,41,39.3,81.9,28.2,60.0,0.469,8.3,23.6,0.351,15.9,21.3,0.747,7.4,25.0,32.4,14.5,7.0,1.6,9.6,19.3,2023,Argentinian-Liga-A
9,La Union de Formosa,42,39.3,81.3,28.6,58.2,0.491,8.4,23.1,0.363,12.7,17.1,0.743,5.9,24.1,30.0,11.1,6.0,1.4,10.0,19.8,2023,Argentinian-Liga-A
10,Ferrocarril Oeste Capital Federal,38,39.5,80.0,28.2,64.3,0.438,10.6,30.9,0.341,13.1,18.3,0.714,6.7,25.4,32.1,14.3,7.0,1.2,9.9,20.8,2023,Argentinian-Liga-A
11,Comunicaciones Mercedes,38,39.0,79.8,28.7,63.2,0.455,8.3,24.9,0.332,10.0,13.5,0.739,7.7,24.4,32.1,16.3,5.2,1.8,10.7,18.7,2023,Argentinian-Liga-A
12,Independiente de Oliva,38,39.1,79.3,27.9,61.3,0.455,7.6,23.3,0.327,14.2,20.2,0.703,7.3,24.6,31.8,14.2,7.4,1.8,9.6,20.8,2023,Argentinian-Liga-A
13,Club Athletico Platense,43,39.4,78.4,27.7,61.0,0.454,6.8,22.2,0.305,14.7,20.4,0.719,6.3,26.9,33.2,11.9,6.2,1.3,8.8,19.7,2023,Argentinian-Liga-A
14,San Martin Corrientes,38,39.4,77.9,28.7,60.3,0.477,9.6,27.7,0.346,10.8,15.7,0.692,6.6,26.8,33.5,14.8,7.1,2.2,10.4,19.7,2023,Argentinian-Liga-A
15,Union de Sante Fe,38,38.6,77.8,27.8,60.6,0.458,9.4,27.2,0.347,12.9,17.2,0.75,5.8,24.7,30.6,14.3,5.6,1.2,9.7,19.5,2023,Argentinian-Liga-A
16,San Lorenzo de Almagro,41,38.8,76.9,25.7,56.8,0.453,8.7,26.2,0.334,13.3,17.3,0.769,5.5,22.3,27.9,12.8,6.1,1.9,10.1,21.5,2023,Argentinian-Liga-A
17,Regatas Corrientes,45,39.8,76.9,25.6,56.2,0.455,8.5,25.1,0.338,14.1,18.9,0.744,6.1,24.5,30.5,13.7,4.7,1.0,8.7,19.6,2023,Argentinian-Liga-A
18,Obera Tenis Club,40,39.5,76.6,28.6,61.7,0.464,8.6,26.2,0.327,10.8,15.7,0.691,7.9,28.5,36.4,16.2,6.9,3.1,11.4,18.7,2023,Argentinian-Liga-A
19,Asociacion Deportiva Atenas,41,39.2,75.8,27.0,57.7,0.468,7.2,21.4,0.338,13.1,18.5,0.709,6.2,23.5,29.8,11.7,5.0,1.2,12.5,18.2,2023,Argentinian-Liga-A
20,Atletico Argentino de Junin,38,39.1,73.0,24.9,59.5,0.419,8.0,26.2,0.305,13.7,18.5,0.74,7.1,23.8,30.9,11.3,6.8,1.4,9.9,20.8,2023,Argentinian-Liga-A
