#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Sydney,36,40.3,92.8,33.7,69.3,0.486,8.8,24.4,0.359,16.6,23.5,0.709,8.7,30.5,39.3,18.6,5.7,2.8,13.8,18.3,2023,Australian-NBL,1
2,Perth,30,40.3,92.1,32.4,71.4,0.453,10.7,29.2,0.365,16.7,20.7,0.807,9.1,24.6,33.7,19.5,6.4,2.2,10.7,16.2,2023,Australian-NBL,0
3,South East Melbourne,29,40.5,91.4,32.3,71.9,0.449,8.1,25.3,0.322,18.8,25.6,0.734,12.3,26.3,38.6,18.0,6.6,2.1,12.1,19.6,2023,Australian-NBL,0
4,Adelaide,28,40.1,90.9,33.3,70.3,0.473,8.7,25.6,0.338,15.8,21.2,0.744,10.3,26.7,36.9,17.5,7.1,3.6,14.0,18.5,2023,Australian-NBL,0
5,Cairns,33,40.4,86.9,30.5,70.2,0.435,10.1,31.2,0.322,15.8,21.5,0.735,9.3,27.1,36.4,17.2,7.8,3.5,13.8,18.1,2023,Australian-NBL,0
6,Melbourne,27,40.3,86.4,31.7,69.2,0.457,10.6,29.5,0.361,12.4,17.4,0.713,9.5,27.4,36.9,16.4,5.4,4.1,14.0,20.1,2023,Australian-NBL,0
7,New Zealand,36,39.9,85.2,30.3,66.6,0.455,9.9,28.3,0.35,14.7,20.3,0.726,9.1,26.0,35.1,14.7,8.0,3.1,12.9,20.8,2023,Australian-NBL,0
8,Tasmania,32,40.1,84.6,30.5,69.4,0.439,10.3,29.1,0.353,13.4,17.8,0.754,10.1,24.2,34.2,15.9,8.0,2.1,12.0,19.5,2023,Australian-NBL,0
9,Brisbane,27,40.9,84.2,30.0,68.4,0.439,8.7,27.0,0.322,15.5,20.5,0.756,8.2,27.6,35.7,17.3,5.9,2.3,15.6,20.3,2023,Australian-NBL,0
10,Illawarra,28,40.7,80.8,30.4,71.9,0.422,8.8,27.4,0.322,11.3,16.9,0.669,9.9,25.5,35.4,14.1,7.1,2.9,13.4,20.2,2023,Australian-NBL,0
