#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Allianz Swans Gmunden,48,40.4,81.6,29.5,59.9,0.492,7.1,19.4,0.365,15.5,19.7,0.785,8.5,24.0,32.6,19.6,7.0,2.9,13.4,17.4,2019,Austrian-A-Bundesliga,0
2,Raiffeisen Flyers Wels,39,40.3,80.9,28.6,63.2,0.453,8.7,24.1,0.361,15.0,19.6,0.768,8.5,24.0,32.5,18.1,5.3,2.3,11.9,19.0,2019,Austrian-A-Bundesliga,0
3,Redwell Gunners Oberwart,44,40.5,80.6,30.0,65.1,0.461,7.6,21.8,0.349,12.9,17.5,0.739,11.1,22.3,33.4,18.0,8.2,1.6,13.2,21.9,2019,Austrian-A-Bundesliga,0
4,ece bulls Kapfenberg,46,40.1,80.3,30.0,63.3,0.474,7.5,22.2,0.34,12.7,17.0,0.75,10.1,24.5,34.7,15.7,6.8,2.3,11.7,19.3,2019,Austrian-A-Bundesliga,1
5,BC Hallmann Vienna,40,40.5,80.2,28.0,63.0,0.445,9.8,27.6,0.353,14.5,18.9,0.764,8.2,21.4,29.6,15.5,6.3,2.3,11.0,16.0,2019,Austrian-A-Bundesliga,0
6,UBSC Raiffeisen Graz,36,40.7,78.5,29.9,63.0,0.475,8.5,24.4,0.349,10.1,15.6,0.648,8.7,21.3,30.0,19.0,7.7,2.0,14.2,20.1,2019,Austrian-A-Bundesliga,0
7,BK Klosterneuburg Dukes,43,40.5,78.2,29.1,65.0,0.449,8.5,25.8,0.329,11.5,17.7,0.65,10.6,23.3,33.9,18.1,6.2,1.8,12.8,18.8,2019,Austrian-A-Bundesliga,0
8,Vienna D.C. Timberwolves,39,40.1,76.3,27.9,65.1,0.43,9.1,26.8,0.338,11.3,16.6,0.678,8.6,22.6,31.2,19.6,7.6,2.2,14.0,17.1,2019,Austrian-A-Bundesliga,0
9,BSC Raiffeisen Panthers Furstenfeld,36,40.1,74.3,27.7,61.2,0.453,8.8,26.3,0.333,10.1,14.8,0.685,8.9,21.2,30.1,18.8,5.8,2.2,15.2,18.1,2019,Austrian-A-Bundesliga,0
10,Arkadia Traiskirchen Lions,41,40.2,74.0,27.7,61.0,0.454,7.5,23.6,0.316,11.1,16.8,0.662,8.8,20.8,29.6,19.6,7.7,1.8,11.9,17.0,2019,Austrian-A-Bundesliga,0
