#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Allianz Swans Gmunden,23,40.7,92.5,34.0,65.7,0.518,10.3,25.6,0.404,14.0,18.2,0.771,9.3,23.6,32.9,21.6,6.0,1.8,11.3,17.5,2020,Austrian-A-Bundesliga
2,Redwell Gunners Oberwart,23,41.2,86.9,31.5,68.4,0.461,9.8,26.9,0.363,14.1,19.0,0.743,10.8,23.2,34.0,16.0,6.9,3.1,13.2,23.3,2020,Austrian-A-Bundesliga
3,BC Hallmann Vienna,21,41.0,85.2,30.0,63.3,0.474,8.7,27.0,0.323,16.5,20.1,0.822,7.4,23.2,30.7,17.2,5.2,2.9,12.4,16.6,2020,Austrian-A-Bundesliga
4,BK Klosterneuburg Dukes,23,40.4,83.3,30.5,62.7,0.486,8.3,23.3,0.356,14.1,19.5,0.723,9.7,24.8,34.5,20.0,6.0,2.4,13.7,21.1,2020,Austrian-A-Bundesliga
5,Chin Min Dragons St. Polten,23,40.4,83.1,30.7,66.6,0.461,9.2,26.2,0.35,12.5,17.0,0.738,8.9,24.3,33.2,17.3,8.0,2.0,11.4,17.4,2020,Austrian-A-Bundesliga
6,UBSC Raiffeisen Graz,21,40.0,80.8,29.7,63.9,0.464,9.0,27.3,0.329,12.4,17.1,0.725,7.5,22.2,29.7,17.2,6.1,1.5,12.5,19.3,2020,Austrian-A-Bundesliga
7,ece bulls Kapfenberg,23,40.2,80.6,28.2,58.6,0.481,8.3,23.8,0.347,16.0,20.5,0.779,8.9,23.8,32.7,16.0,5.9,2.6,12.4,20.1,2020,Austrian-A-Bundesliga
8,Raiffeisen Flyers Wels,23,40.0,79.9,29.1,64.0,0.455,6.0,20.5,0.293,15.7,20.3,0.774,9.3,23.6,32.9,17.6,7.5,1.9,13.5,21.4,2020,Austrian-A-Bundesliga
9,Vienna D.C. Timberwolves,21,40.7,72.9,26.4,67.0,0.394,9.7,30.7,0.316,10.3,14.7,0.701,9.1,21.6,30.7,16.6,6.1,1.1,14.2,17.9,2020,Austrian-A-Bundesliga
10,Arkadia Traiskirchen Lions,21,40.4,70.0,26.5,63.6,0.417,6.6,22.4,0.294,10.4,15.9,0.658,10.0,20.4,30.3,18.2,7.5,1.2,16.1,17.0,2020,Austrian-A-Bundesliga
