#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Sporting Clube de Portugal,6,39.8,88.5,32.2,67.5,0.477,9.5,30.0,0.317,14.7,22.0,0.667,10.7,19.3,30.0,19.2,9.2,2.2,14.8,23.8,2023,FIBA-Europe-Cup,0
2,BV Chemnitz 99,12,40.4,86.9,31.1,66.6,0.467,11.4,31.4,0.363,13.3,17.4,0.766,11.8,23.8,35.7,22.1,7.9,2.2,14.6,20.7,2023,FIBA-Europe-Cup,0
3,HARKO Merlins Crailsheim,12,40.3,86.7,30.8,63.5,0.484,9.8,25.3,0.385,15.4,19.6,0.787,8.3,24.5,32.8,17.8,7.4,1.7,14.4,22.5,2023,FIBA-Europe-Cup,0
4,Anwil Wloclawek,18,39.9,85.1,30.8,62.8,0.49,11.7,28.2,0.414,11.9,16.4,0.725,7.6,24.3,31.8,18.9,7.4,1.5,12.3,18.6,2023,FIBA-Europe-Cup,0
5,Kangoeroes Basket Willebroek,6,40.0,85.0,32.0,64.8,0.494,9.7,25.7,0.377,11.3,14.2,0.8,9.8,25.0,34.8,19.5,6.7,1.7,15.8,20.8,2023,FIBA-Europe-Cup,0
6,CSM Oradea,12,40.0,84.6,30.9,64.3,0.481,10.3,27.8,0.369,12.5,14.7,0.852,7.6,21.8,29.4,19.7,9.2,2.3,11.7,18.5,2023,FIBA-Europe-Cup,0
7,Royal Hali Gaziantep,14,39.9,83.6,30.0,57.6,0.521,11.6,27.1,0.426,12.0,16.4,0.73,6.1,22.4,28.6,19.3,7.0,2.3,12.2,19.2,2023,FIBA-Europe-Cup,0
8,Hapoel Upper Galilee Safed,6,40.0,83.2,30.3,59.5,0.51,9.0,20.8,0.432,13.5,18.5,0.73,8.3,20.3,28.7,19.3,6.8,1.3,15.8,17.7,2023,FIBA-Europe-Cup,0
9,Brose Baskets Bamberg,14,39.7,82.4,29.7,66.1,0.449,9.4,28.6,0.327,13.6,17.5,0.78,11.5,21.2,32.7,16.2,6.6,1.6,11.7,20.4,2023,FIBA-Europe-Cup,0
10,Kauhajoen Karhu,16,40.0,81.6,28.8,62.0,0.464,11.1,28.2,0.392,13.1,17.8,0.736,10.4,24.0,34.4,18.8,6.8,2.2,16.1,19.9,2023,FIBA-Europe-Cup,0
11,Cholet Basket,18,39.9,81.6,28.8,59.3,0.485,9.1,24.9,0.366,14.9,20.8,0.717,6.7,25.1,31.8,18.1,7.8,2.9,12.7,16.8,2023,FIBA-Europe-Cup,0
12,FC Porto Ferpinta,14,40.2,80.9,28.4,64.9,0.438,9.7,26.5,0.367,14.4,20.1,0.715,9.6,21.8,31.4,16.4,6.8,1.3,10.9,21.2,2023,FIBA-Europe-Cup,0
13,Enel Brindisi,6,40.0,80.2,30.3,67.2,0.452,6.3,21.0,0.302,13.2,16.2,0.814,8.0,23.8,31.8,13.7,8.0,2.7,13.3,18.8,2023,FIBA-Europe-Cup,0
14,Fribourg Olympic,6,40.8,79.5,31.7,64.8,0.488,6.7,19.7,0.339,9.5,15.5,0.613,8.8,21.8,30.7,19.2,9.3,3.0,14.3,23.3,2023,FIBA-Europe-Cup,0
15,BC Kalev-Cramo,16,39.9,77.3,28.8,65.3,0.441,9.6,28.1,0.343,10.0,14.0,0.714,8.7,23.4,32.1,17.9,7.1,2.0,10.8,18.6,2023,FIBA-Europe-Cup,0
16,Heroes Den Bosch,12,39.9,77.3,27.4,58.6,0.468,8.4,23.3,0.362,14.0,19.3,0.724,9.4,23.3,32.8,18.2,6.9,2.7,14.1,18.3,2023,FIBA-Europe-Cup,0
17,BK Opava,6,40.0,77.2,27.5,65.7,0.419,8.8,31.2,0.283,13.3,17.5,0.762,11.0,20.5,31.5,20.5,7.7,2.0,16.5,23.5,2023,FIBA-Europe-Cup,0
18,Allianz Swans Gmunden,6,39.8,77.0,26.2,59.7,0.439,6.2,20.5,0.301,18.5,25.0,0.74,9.2,19.7,28.8,18.7,6.7,3.2,14.3,20.0,2023,FIBA-Europe-Cup,0
19,BK Levicki Patrioti Levice,12,40.0,76.9,26.8,59.8,0.448,8.8,25.5,0.343,14.7,20.3,0.724,6.7,22.3,29.0,17.6,6.3,2.7,14.1,18.9,2023,FIBA-Europe-Cup,1
20,Egis Kormend,6,40.0,76.3,25.7,57.5,0.446,8.3,24.0,0.347,16.7,22.8,0.73,7.2,19.0,26.2,14.8,8.2,2.0,15.7,22.3,2023,FIBA-Europe-Cup,0
21,BC Budivelnik,14,40.0,75.0,27.9,61.0,0.458,6.7,20.3,0.331,12.4,18.6,0.667,8.9,25.2,34.1,17.6,7.6,3.1,15.3,19.4,2023,FIBA-Europe-Cup,0
22,Keravnos Strovolou,12,40.4,75.0,26.3,60.9,0.431,6.4,23.1,0.278,16.1,21.0,0.766,10.3,21.8,32.0,15.3,7.3,1.8,13.8,20.3,2023,FIBA-Europe-Cup,0
23,Port of Antwerp Giants,6,39.8,74.7,27.2,58.0,0.468,8.5,23.3,0.364,11.8,17.8,0.664,7.2,21.8,29.0,15.7,7.2,2.7,15.7,19.7,2023,FIBA-Europe-Cup,0
24,BC Balkan,6,40.7,74.5,27.3,61.2,0.447,7.3,26.7,0.275,12.5,17.2,0.728,7.7,23.0,30.7,17.2,8.3,3.2,16.2,20.5,2023,FIBA-Europe-Cup,0
25,KK Parnu,6,40.0,74.5,25.2,58.5,0.43,8.0,23.5,0.34,16.2,21.5,0.752,8.2,21.5,29.7,16.0,4.3,1.3,15.0,19.3,2023,FIBA-Europe-Cup,0
26,Hapoel Haifa,12,40.0,72.3,27.2,63.3,0.43,7.3,23.1,0.318,10.6,16.0,0.661,10.5,22.8,33.3,16.8,8.8,2.1,16.3,19.4,2023,FIBA-Europe-Cup,0
27,SCM CSU Craiova,12,40.3,71.9,25.3,60.2,0.42,8.5,26.7,0.319,12.9,16.7,0.775,8.3,20.1,28.3,13.3,7.0,2.8,12.6,20.4,2023,FIBA-Europe-Cup,0
28,Norrkoping,6,40.8,71.5,24.8,60.5,0.41,9.3,29.0,0.322,12.5,17.0,0.735,7.3,21.3,28.7,13.3,7.0,3.2,15.3,18.7,2023,FIBA-Europe-Cup,0
29,Golden Eagle YLLI,6,40.0,70.3,27.2,64.5,0.421,8.8,26.2,0.338,7.2,10.5,0.683,8.7,19.3,28.0,13.3,7.3,3.7,15.7,16.8,2023,FIBA-Europe-Cup,0
30,CSO Voluntari,6,39.7,68.8,24.3,59.8,0.407,7.2,22.3,0.321,13.0,18.0,0.722,9.5,22.7,32.2,11.0,7.5,2.5,14.7,19.5,2023,FIBA-Europe-Cup,0
31,BC Rilski Sportist,6,40.0,67.5,22.8,57.7,0.396,8.8,25.2,0.351,13.0,17.5,0.743,6.8,20.8,27.7,15.3,4.7,1.3,17.0,18.5,2023,FIBA-Europe-Cup,0
32,Donar Groningen,6,40.0,61.7,23.0,59.5,0.387,6.0,20.2,0.298,9.7,14.5,0.667,6.8,21.0,27.8,14.8,7.7,1.3,15.5,19.0,2023,FIBA-Europe-Cup,0
