#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Telenet BC Oostende,28,40.5,86.6,30.1,59.0,0.511,9.9,25.1,0.396,16.4,22.1,0.739,7.1,25.5,32.6,20.4,6.9,2.2,13.3,20.5,2023,BNXT-League
2,Okapi Aalstar,30,40.2,85.0,30.5,64.6,0.472,7.3,22.6,0.324,16.6,23.7,0.703,10.6,25.4,35.9,18.4,7.7,2.7,13.5,17.9,2023,BNXT-League
3,Heroes Den Bosch,28,40.2,82.8,30.3,61.6,0.492,8.6,23.7,0.364,13.6,18.5,0.737,9.1,27.4,36.6,20.1,7.3,2.6,12.9,16.2,2023,BNXT-League
4,Limburg United,30,40.7,82.3,29.2,60.7,0.481,8.1,22.7,0.356,15.9,21.6,0.736,8.7,23.1,31.8,17.6,6.9,1.6,12.9,23.3,2023,BNXT-League
5,Belfius Mons-Hainaut,30,40.7,81.7,29.7,58.8,0.505,6.1,17.0,0.361,16.2,22.7,0.715,8.5,22.8,31.3,16.3,8.3,1.6,12.7,18.8,2023,BNXT-League
6,Kangoeroes Basket Willebroek,30,40.2,80.6,29.4,59.8,0.492,7.4,21.5,0.342,14.4,19.8,0.726,7.6,23.4,31.0,16.3,8.2,1.8,14.6,21.3,2023,BNXT-League
7,Yoast United,30,40.5,80.4,28.4,67.0,0.424,10.2,30.1,0.338,13.4,18.7,0.715,11.3,24.3,35.6,13.2,5.8,3.7,13.3,17.8,2023,BNXT-League
8,Liege Basket,31,40.0,80.0,28.7,63.8,0.449,8.2,24.1,0.341,14.5,20.4,0.708,10.6,23.5,34.1,17.3,9.5,2.4,15.7,20.0,2023,BNXT-League
9,Aris Leeuwarden,30,40.0,79.6,28.3,62.5,0.453,10.0,28.0,0.358,13.0,17.9,0.725,7.6,21.6,29.2,18.8,7.8,2.6,12.6,18.3,2023,BNXT-League
10,Stella Artois Leuven Bears,30,40.7,79.5,29.3,61.6,0.475,7.4,21.2,0.349,13.5,18.2,0.745,10.1,21.0,31.1,15.6,8.5,2.7,12.3,20.9,2023,BNXT-League
11,Proximus Spirou Charleroi,30,40.5,79.5,28.3,62.3,0.453,9.0,26.3,0.344,13.9,19.2,0.725,9.3,22.2,31.5,16.1,7.7,2.5,12.6,20.7,2023,BNXT-League
12,ZZ Leiden,27,40.2,79.1,29.7,63.0,0.471,7.3,20.6,0.352,12.5,17.4,0.718,9.1,24.1,33.1,19.5,8.7,2.9,12.8,18.3,2023,BNXT-League
13,Port of Antwerp Giants,28,40.5,78.4,28.1,62.4,0.45,8.3,24.5,0.339,13.9,20.4,0.682,9.6,22.4,31.9,16.0,8.6,2.7,10.5,20.5,2023,BNXT-League
14,Landstede Zwolle,30,40.0,78.1,27.9,62.4,0.446,10.0,26.7,0.375,12.4,16.4,0.755,9.5,23.5,33.0,17.9,6.6,1.6,14.5,17.5,2023,BNXT-League
15,Basic-Fit Brussels Basketball,30,40.8,77.5,27.2,60.1,0.452,9.6,27.1,0.356,13.5,19.0,0.714,6.9,22.4,29.3,16.4,5.9,1.2,13.1,19.8,2023,BNXT-League
16,Donar Groningen,30,40.2,74.9,27.7,59.8,0.463,7.4,20.6,0.359,12.1,17.4,0.699,9.6,23.8,33.4,16.6,7.3,2.0,14.2,19.7,2023,BNXT-League
17,Feyenoord Rotterdam,30,40.3,74.8,27.2,63.5,0.429,8.0,23.4,0.343,12.3,16.7,0.737,10.6,23.1,33.7,14.4,7.3,2.8,12.9,18.8,2023,BNXT-League
18,Den Helder Suns,30,40.2,73.0,27.2,62.3,0.437,6.7,22.8,0.296,11.8,17.7,0.667,6.7,20.5,27.2,15.4,8.5,1.3,15.5,18.7,2023,BNXT-League
19,Basketball Academie Limburg,31,40.5,69.2,26.0,61.4,0.423,7.9,24.6,0.32,9.4,15.2,0.617,8.4,22.3,30.6,13.3,7.4,1.9,16.7,18.6,2023,BNXT-League
20,BC Apollo Amsterdam,29,40.0,68.8,26.1,62.7,0.417,6.1,21.9,0.28,10.5,17.0,0.618,9.3,20.0,29.3,15.2,8.8,1.9,18.3,21.6,2023,BNXT-League
