#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,KK Kumanovo,14,40.4,86.9,31.8,64.1,0.496,9.0,24.1,0.374,14.3,19.7,0.725,8.9,24.4,33.3,18.1,5.3,3.1,14.0,22.5,2015,Balkan-BIBL,0
2,Sigal Prishtina,17,39.7,86.5,32.6,66.7,0.489,10.4,26.6,0.391,10.9,15.8,0.694,9.8,26.7,36.5,19.2,5.9,2.6,12.4,18.2,2015,Balkan-BIBL,1
3,Kozuv Gevgelija,14,39.4,82.8,29.9,64.2,0.465,7.1,21.9,0.327,15.9,20.9,0.764,9.4,25.6,35.1,15.6,7.0,2.4,13.0,20.4,2015,Balkan-BIBL,0
4,BC Rilski Sportist,18,40.2,82.0,29.6,65.7,0.451,7.9,23.6,0.334,14.9,19.3,0.77,8.7,25.2,33.9,14.5,5.8,1.8,11.5,20.1,2015,Balkan-BIBL,0
5,KK Sutjeska,11,39.5,80.3,29.0,68.3,0.425,8.1,29.1,0.278,14.2,20.0,0.709,11.5,19.0,30.5,13.2,7.8,4.0,9.8,20.3,2015,Balkan-BIBL,0
6,KB Peja,14,40.5,79.1,28.1,65.6,0.428,9.1,27.6,0.329,13.9,19.2,0.725,8.1,25.4,33.5,16.4,6.8,2.3,12.9,22.7,2015,Balkan-BIBL,0
7,SCM CSU Craiova,14,39.5,78.6,29.9,67.8,0.442,7.6,23.7,0.319,11.2,16.9,0.665,11.1,25.4,36.5,15.5,7.8,1.9,12.1,22.4,2015,Balkan-BIBL,0
8,KK Mornar,11,39.0,78.1,29.2,66.6,0.438,7.9,25.6,0.309,11.8,16.8,0.703,10.2,22.5,32.6,16.0,8.5,3.3,12.7,19.4,2015,Balkan-BIBL,0
9,KK Teodo Tivat,8,40.3,76.5,28.3,64.1,0.441,6.8,19.0,0.355,13.3,18.9,0.702,10.0,22.3,32.3,14.6,8.5,1.9,12.4,21.4,2015,Balkan-BIBL,0
10,Vllaznia Shkodra,7,39.2,58.4,22.4,65.6,0.342,7.0,27.6,0.254,7.1,11.7,0.61,9.9,23.4,33.3,12.0,4.0,0.9,15.7,15.1,2015,Balkan-BIBL,0
