#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Ferroviario de Beira,7,40.0,89.0,33.9,75.3,0.45,9.1,26.3,0.348,12.1,18.9,0.644,13.1,29.3,42.4,26.3,13.4,1.6,14.6,14.3,2022,Basketball-Africa-League---Qualification,0
2,Cape Town Tigers,5,40.0,85.4,32.6,73.2,0.445,9.4,25.6,0.367,10.8,15.6,0.692,13.0,32.6,45.6,18.4,7.8,4.8,18.4,15.2,2022,Basketball-Africa-League---Qualification,0
3,BC Espoir Fukash,6,40.8,85.2,30.7,76.0,0.404,11.0,33.3,0.33,12.8,23.0,0.558,18.2,33.2,51.3,18.5,8.5,3.8,22.2,20.5,2022,Basketball-Africa-League---Qualification,0
4,AS Police,4,42.5,79.0,27.5,71.8,0.383,8.0,26.0,0.308,16.0,23.3,0.688,11.5,29.8,41.3,17.5,10.3,4.5,21.3,20.5,2022,Basketball-Africa-League---Qualification,0
5,FAP Basketball,6,40.0,79.0,26.7,72.2,0.37,8.8,28.3,0.312,16.8,25.7,0.656,14.2,29.0,43.2,15.5,15.0,4.2,15.7,15.0,2022,Basketball-Africa-League---Qualification,0
6,Nigelec Basket Club,2,40.0,79.0,29.0,82.0,0.354,6.0,24.5,0.245,15.0,23.0,0.652,17.5,24.5,42.0,10.5,10.0,1.5,12.5,18.5,2022,Basketball-Africa-League---Qualification,0
7,New Star BBC,4,37.1,73.8,24.5,68.0,0.36,10.0,31.0,0.323,14.8,21.3,0.694,11.0,30.0,41.0,16.5,4.5,4.0,14.3,12.5,2022,Basketball-Africa-League---Qualification,0
8,City Oilers,1,40.0,73.0,30.0,68.0,0.441,10.0,34.0,0.294,3.0,9.0,0.333,12.0,31.0,43.0,22.0,4.0,6.0,13.0,13.0,2022,Basketball-Africa-League---Qualification,0
9,SLAC,4,41.3,71.5,27.3,69.5,0.392,8.0,27.5,0.291,9.0,15.3,0.59,9.0,26.8,35.8,12.5,7.8,3.0,17.0,19.5,2022,Basketball-Africa-League---Qualification,0
10,SOA,2,40.0,67.0,24.5,67.5,0.363,5.0,23.5,0.213,13.0,21.0,0.619,13.5,22.5,36.0,12.0,8.0,3.5,18.5,21.5,2022,Basketball-Africa-League---Qualification,1
11,Cobra,4,40.0,66.5,23.8,66.0,0.36,11.0,33.3,0.331,8.0,14.0,0.571,11.0,25.8,36.8,17.8,9.5,4.5,17.8,14.3,2022,Basketball-Africa-League---Qualification,0
12,Matero Magic,3,40.0,61.3,22.7,75.7,0.3,7.0,26.3,0.266,9.0,18.3,0.491,14.0,27.0,41.0,14.7,8.3,6.0,17.7,21.0,2022,Basketball-Africa-League---Qualification,0
13,Kurasini Heat,1,40.0,54.0,21.0,56.0,0.375,3.0,17.0,0.176,9.0,14.0,0.643,11.0,22.0,33.0,14.0,9.0,5.0,16.0,8.0,2022,Basketball-Africa-League---Qualification,0
14,Tondema,2,40.0,53.0,21.0,67.5,0.311,5.0,27.5,0.182,6.0,7.0,0.857,13.5,31.5,45.0,10.5,7.0,2.5,30.0,9.0,2022,Basketball-Africa-League---Qualification,0
15,Ulinzi Warriors,3,32.7,52.3,17.7,56.7,0.312,7.3,25.0,0.293,9.7,15.0,0.644,11.3,17.7,29.0,14.3,5.0,1.7,15.0,16.7,2022,Basketball-Africa-League---Qualification,0
16,Roche-Bois Warriors,2,40.0,42.5,18.5,61.5,0.301,4.5,26.5,0.17,1.0,4.0,0.25,5.0,23.0,28.0,13.0,6.5,6.5,39.5,17.0,2022,Basketball-Africa-League---Qualification,0
17,Brave Hearts BC,2,40.0,35.0,13.5,55.0,0.245,4.5,24.5,0.184,3.5,8.5,0.412,9.0,20.0,29.0,8.5,5.0,1.5,14.5,10.0,2022,Basketball-Africa-League---Qualification,0
