#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,City Oilers,5,40.0,80.6,29.6,71.6,0.413,10.2,30.0,0.34,11.2,16.8,0.667,13.4,26.6,40.0,19.6,8.0,5.0,14.4,17.6,2023,Basketball-Africa-League---Qualification
2,Abidjan BC,5,40.0,78.8,28.0,69.0,0.406,9.2,28.4,0.324,13.6,20.6,0.66,10.8,29.0,39.8,17.6,9.6,1.8,15.4,16.8,2023,Basketball-Africa-League---Qualification
3,SLAC,5,40.0,78.2,29.4,69.0,0.426,6.6,23.2,0.284,12.8,19.2,0.667,11.4,30.2,41.6,15.0,9.2,4.4,17.0,11.8,2023,Basketball-Africa-League---Qualification
4,Cape Town Tigers,4,40.0,77.8,27.8,70.5,0.394,11.8,33.3,0.353,10.5,17.5,0.6,11.0,29.0,40.0,18.3,12.5,3.8,16.5,16.5,2023,Basketball-Africa-League---Qualification
5,FAP Basketball,1,40.0,75.0,29.0,75.0,0.387,7.0,24.0,0.292,10.0,16.0,0.625,12.0,19.0,31.0,17.0,15.0,0.0,13.0,22.0,2023,Basketball-Africa-League---Qualification
6,Stade Malien,4,40.0,74.5,28.5,73.8,0.386,5.5,24.0,0.229,12.0,20.0,0.6,12.8,28.8,41.5,12.3,9.8,2.5,16.0,21.5,2023,Basketball-Africa-League---Qualification
7,NBA Academy Africa,3,39.7,74.3,24.0,66.0,0.364,9.7,35.3,0.274,16.7,26.0,0.641,16.7,30.3,47.0,14.7,10.7,8.0,23.0,12.0,2023,Basketball-Africa-League---Qualification
8,COSPN,5,40.0,73.8,28.4,78.8,0.36,6.6,34.4,0.192,10.4,18.0,0.578,16.0,30.0,46.0,18.0,9.4,2.8,17.8,17.4,2023,Basketball-Africa-League---Qualification
9,Kenya Ports Authority,5,40.0,72.8,27.0,66.8,0.404,7.2,23.0,0.313,11.6,22.6,0.513,12.6,32.2,44.8,12.2,11.8,2.6,23.8,18.4,2023,Basketball-Africa-League---Qualification
10,Ferroviario de Beira,5,39.8,71.6,26.4,66.4,0.398,4.6,20.8,0.221,14.2,21.0,0.676,11.8,32.2,44.0,16.8,10.2,2.2,19.2,13.6,2023,Basketball-Africa-League---Qualification
11,Matero Magic,4,40.0,66.8,24.0,71.8,0.334,7.0,22.5,0.311,11.8,23.5,0.5,18.0,28.3,46.3,14.5,7.5,5.8,17.3,17.3,2023,Basketball-Africa-League---Qualification
12,Bangui Sporting Club,7,40.0,65.9,23.7,66.3,0.358,6.4,26.1,0.246,12.0,20.0,0.6,12.0,30.9,42.9,14.1,10.0,3.3,18.1,16.9,2023,Basketball-Africa-League---Qualification
13,Urunani,6,40.0,65.7,23.7,68.8,0.344,8.2,29.2,0.28,10.2,15.2,0.67,12.2,26.7,38.8,15.3,10.2,2.8,16.8,18.2,2023,Basketball-Africa-League---Qualification
14,AS Sale,3,40.0,65.3,25.7,72.0,0.356,4.7,26.0,0.179,9.3,15.3,0.609,9.3,28.7,38.0,15.0,10.3,3.7,16.7,17.3,2023,Basketball-Africa-League---Qualification
15,Nueva Era,4,40.0,64.8,25.5,75.5,0.338,3.5,18.0,0.194,10.3,19.3,0.532,14.5,27.0,41.5,9.8,9.0,1.5,17.5,19.0,2023,Basketball-Africa-League---Qualification
16,Elan Coton,3,40.0,59.3,23.3,72.3,0.323,4.0,27.0,0.148,8.7,15.3,0.565,14.7,26.7,41.3,11.0,6.3,2.7,20.0,21.0,2023,Basketball-Africa-League---Qualification
17,Espoir,2,40.0,56.5,16.0,69.0,0.232,6.0,28.5,0.211,18.5,25.0,0.74,17.5,32.0,49.5,8.5,7.5,11.5,26.0,18.5,2023,Basketball-Africa-League---Qualification
18,Djabal,2,40.0,47.5,18.5,66.5,0.278,3.5,21.0,0.167,7.0,14.0,0.5,7.0,23.5,30.5,5.5,6.5,0.0,29.5,21.5,2023,Basketball-Africa-League---Qualification
19,Army,1,40.0,45.0,18.0,65.0,0.277,3.0,22.0,0.136,6.0,11.0,0.545,15.0,25.0,40.0,10.0,2.0,1.0,16.0,14.0,2023,Basketball-Africa-League---Qualification
