#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,AS Sale,6,40.0,90.5,31.0,68.2,0.455,12.0,30.8,0.389,16.5,22.8,0.723,9.7,24.8,34.5,17.8,7.7,2.0,12.5,17.0,2022,Basketball-Africa-League,0
2,Zamalek SC,8,40.0,86.0,30.1,69.4,0.434,10.3,32.4,0.317,15.5,23.5,0.66,11.0,29.6,40.6,20.5,6.3,3.3,14.8,21.4,2022,Basketball-Africa-League,0
3,Petro de Luanda,8,40.0,85.4,30.0,69.3,0.433,11.3,35.0,0.321,14.1,20.6,0.685,11.0,27.9,38.9,21.5,10.6,4.0,17.8,19.5,2022,Basketball-Africa-League,0
4,US Monastir,8,40.0,84.3,30.3,62.9,0.481,7.8,25.3,0.307,16.0,21.3,0.753,8.9,28.4,37.3,21.3,6.8,4.1,15.6,18.4,2022,Basketball-Africa-League,1
5,Ferroviario de Beira,5,40.0,83.2,31.2,70.4,0.443,8.4,24.4,0.344,12.4,17.2,0.721,11.0,23.0,34.0,19.0,8.6,0.8,13.4,17.0,2022,Basketball-Africa-League,0
6,REG,6,40.0,82.3,28.2,67.8,0.415,11.2,31.8,0.351,14.8,20.3,0.73,9.0,26.8,35.8,20.5,7.5,3.2,16.7,22.3,2022,Basketball-Africa-League,0
7,Dakar Universite Club,5,40.0,80.4,29.0,70.8,0.41,8.2,28.6,0.287,14.2,20.4,0.696,10.6,22.2,32.8,19.4,7.6,1.8,13.0,22.2,2022,Basketball-Africa-League,0
8,BC Espoir Fukash,5,41.0,78.8,28.6,80.4,0.356,8.4,31.0,0.271,13.2,21.6,0.611,18.8,29.0,47.8,19.4,7.6,2.8,20.6,22.2,2022,Basketball-Africa-League,0
9,Cape Town Tigers,6,40.8,75.5,26.2,68.0,0.385,7.5,26.8,0.28,15.7,21.5,0.729,6.8,25.8,32.7,15.7,9.2,3.5,16.0,18.5,2022,Basketball-Africa-League,0
10,Cobra,5,40.0,74.0,26.2,67.0,0.391,6.6,25.6,0.258,15.0,27.0,0.556,12.8,28.4,41.2,17.4,8.0,4.6,20.2,19.4,2022,Basketball-Africa-League,0
11,SLAC,6,40.0,73.5,27.7,64.2,0.431,6.3,20.0,0.317,11.8,19.0,0.623,11.2,28.8,40.0,13.8,6.8,4.8,19.0,16.8,2022,Basketball-Africa-League,0
12,FAP Basketball,8,40.0,69.4,24.3,70.9,0.342,5.6,23.3,0.242,15.3,25.8,0.592,15.4,25.5,40.9,13.1,10.3,4.5,18.4,19.6,2022,Basketball-Africa-League,0
