#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Petro de Luanda,5,40.0,92.6,31.0,66.2,0.468,11.6,32.2,0.36,19.0,24.8,0.766,12.0,29.2,41.2,23.2,7.0,3.0,14.4,20.2,2023,Basketball-Africa-League
2,Al Ahly,5,40.0,85.0,29.6,64.2,0.461,9.6,29.2,0.329,16.2,19.0,0.853,8.6,25.8,34.4,20.8,7.2,3.4,16.4,21.2,2023,Basketball-Africa-League
3,Ferroviario de Beira,5,40.0,83.2,28.4,68.2,0.416,6.0,18.4,0.326,20.4,26.8,0.761,14.8,23.0,37.8,14.2,7.0,2.0,19.2,20.6,2023,Basketball-Africa-League
4,SLAC,5,40.0,81.8,30.6,68.4,0.447,5.4,20.0,0.27,15.2,21.0,0.724,9.4,23.4,32.8,16.6,10.8,2.6,15.0,21.0,2023,Basketball-Africa-League
5,Abidjan BC,5,40.0,77.8,26.2,68.4,0.383,9.6,30.8,0.312,15.8,20.4,0.775,8.4,26.8,35.2,16.8,9.4,3.4,16.2,20.4,2023,Basketball-Africa-League
6,US Monastir,5,40.0,76.2,25.8,59.4,0.434,8.6,29.6,0.291,16.0,21.8,0.734,7.6,25.6,33.2,16.6,7.4,3.0,19.2,19.6,2023,Basketball-Africa-League
7,Stade Malien,5,39.8,75.6,29.2,73.6,0.397,5.6,25.8,0.217,11.6,20.0,0.58,16.8,26.2,43.0,19.4,11.0,3.8,18.4,20.0,2023,Basketball-Africa-League
8,City Oilers,5,40.0,75.0,26.2,68.2,0.384,9.8,31.8,0.308,12.8,21.4,0.598,10.0,25.8,35.8,14.6,6.4,1.4,14.0,17.4,2023,Basketball-Africa-League
9,REG,5,40.0,71.2,26.0,65.4,0.398,7.2,27.2,0.265,12.0,16.8,0.714,10.8,27.8,38.6,18.2,7.6,4.0,18.2,18.0,2023,Basketball-Africa-League
10,Cape Town Tigers,5,39.8,70.8,24.6,64.2,0.383,6.0,23.8,0.252,15.6,23.0,0.678,8.4,24.4,32.8,14.4,7.6,2.2,15.0,20.6,2023,Basketball-Africa-League
11,AS Douanes,5,39.8,70.0,25.6,69.6,0.368,6.0,23.0,0.261,12.8,20.8,0.615,14.6,28.4,43.0,16.0,9.0,3.6,18.8,18.8,2023,Basketball-Africa-League
12,Kwara Falcons,5,40.0,68.2,23.0,66.6,0.345,7.6,25.6,0.297,14.6,22.0,0.664,13.4,25.0,38.4,15.0,7.8,3.4,18.6,19.2,2023,Basketball-Africa-League
