#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Nanterre 92,2,40.0,91.0,35.0,65.0,0.538,10.0,23.5,0.426,11.0,15.5,0.71,5.5,27.5,33.0,23.0,14.0,4.0,13.5,17.0,2019,Basketball-Champions-League---Qualification
2,Port of Antwerp Giants,4,40.0,85.8,31.5,65.8,0.479,9.0,24.8,0.364,13.8,20.8,0.663,13.5,26.3,39.8,22.8,6.3,2.5,12.8,21.8,2019,Basketball-Champions-League---Qualification
3,Bakken Bears,5,40.0,85.2,30.4,67.4,0.451,10.0,24.6,0.407,14.4,20.8,0.692,10.4,31.8,42.2,20.0,5.2,4.6,12.8,22.2,2019,Basketball-Champions-League---Qualification
4,BC Levski Lukoil,4,40.0,84.3,30.0,66.8,0.449,9.5,28.8,0.33,14.8,19.8,0.747,9.5,25.8,35.3,17.8,8.5,2.0,15.3,20.5,2019,Basketball-Champions-League---Qualification
5,Avtodor Saratov,2,40.0,82.5,28.5,65.5,0.435,5.5,21.5,0.256,20.0,26.5,0.755,13.5,20.0,33.5,19.5,9.5,5.5,14.5,19.0,2019,Basketball-Champions-League---Qualification
6,Acqua San Bernardo Cantu,4,40.0,82.3,30.0,66.0,0.455,9.3,24.5,0.378,13.0,18.5,0.703,9.5,21.5,31.0,15.0,8.3,2.3,12.3,22.0,2019,Basketball-Champions-League---Qualification
7,Leicester Riders,3,40.0,81.7,26.7,67.7,0.394,8.3,23.7,0.352,20.0,27.7,0.723,6.7,22.3,29.0,18.0,7.0,2.3,10.3,18.7,2019,Basketball-Champions-League---Qualification
8,Fribourg Olympic,6,40.9,80.2,29.8,63.8,0.467,5.3,15.7,0.34,15.2,18.2,0.835,10.8,23.7,34.5,19.0,7.0,0.8,14.7,21.7,2019,Basketball-Champions-League---Qualification
9,Nizhny Novgorod,6,40.0,80.0,28.2,61.3,0.459,8.3,20.3,0.41,15.3,22.2,0.692,8.8,24.0,32.8,18.7,8.7,1.5,12.2,24.8,2019,Basketball-Champions-League---Qualification
10,Medi Bayreuth,2,40.0,79.5,30.0,60.0,0.5,9.5,23.5,0.404,10.0,12.0,0.833,6.5,23.5,30.0,19.5,7.5,5.5,14.0,17.0,2019,Basketball-Champions-League---Qualification
11,CSM Oradea,2,40.0,79.0,29.5,62.5,0.472,8.5,25.5,0.333,11.5,17.5,0.657,6.5,27.5,34.0,10.5,5.0,3.5,13.5,18.5,2019,Basketball-Champions-League---Qualification
12,Kauhajoen Karhu,6,40.0,76.7,27.5,64.8,0.424,8.3,22.2,0.376,13.3,19.2,0.696,9.5,24.0,33.5,18.7,6.5,2.8,16.3,18.2,2019,Basketball-Champions-League---Qualification
13,Tsmoki-Minsk,2,40.0,75.5,29.5,58.5,0.504,8.0,21.0,0.381,8.5,14.5,0.586,6.5,21.5,28.0,18.5,9.0,2.5,17.5,26.0,2019,Basketball-Champions-League---Qualification
14,Twarde Pierniki Torun,6,40.0,75.0,27.8,61.3,0.454,4.8,16.0,0.302,14.5,21.8,0.664,9.5,22.7,32.2,17.8,10.2,1.8,12.8,17.5,2019,Basketball-Champions-League---Qualification
15,Aris BC,4,40.0,74.5,25.5,58.5,0.436,10.3,25.0,0.41,13.3,26.5,0.5,11.5,25.5,37.0,15.3,9.0,4.5,15.5,21.3,2019,Basketball-Champions-League---Qualification
16,UCAM Murcia CB,2,40.0,74.5,24.0,56.0,0.429,5.5,22.5,0.244,21.0,27.0,0.778,10.5,27.0,37.5,16.0,6.0,2.0,18.5,20.5,2019,Basketball-Champions-League---Qualification
17,Donar Groningen,4,41.2,72.0,26.8,67.0,0.399,8.3,29.0,0.284,10.3,11.0,0.932,8.5,23.5,32.0,15.8,7.5,1.5,12.0,16.0,2019,Basketball-Champions-League---Qualification
18,Siauliai,2,40.0,72.0,27.0,66.5,0.406,8.0,25.5,0.314,10.0,14.0,0.714,9.5,19.0,28.5,15.5,8.5,2.0,17.0,19.0,2019,Basketball-Champions-League---Qualification
19,Proximus Spirou Charleroi,6,40.0,70.5,26.2,62.8,0.416,6.5,21.5,0.302,11.7,20.2,0.579,10.5,22.0,32.5,15.0,7.8,2.2,13.7,22.0,2019,Basketball-Champions-League---Qualification
20,BK JIP Pardubice,2,40.0,70.5,25.5,61.5,0.415,4.0,21.5,0.186,15.5,24.0,0.646,10.5,21.5,32.0,13.0,8.5,3.5,15.5,17.5,2019,Basketball-Champions-League---Qualification
21,Movistar Estudiantes,4,40.0,70.0,27.0,60.3,0.448,5.5,20.3,0.272,10.5,17.5,0.6,8.3,22.8,31.0,20.0,8.5,4.3,10.5,21.5,2019,Basketball-Champions-League---Qualification
22,Szolnoki Olaj,2,40.0,69.5,26.0,61.0,0.426,7.0,22.0,0.318,10.5,20.0,0.525,10.5,22.5,33.0,19.0,6.0,1.0,21.0,21.5,2019,Basketball-Champions-League---Qualification
23,Sigal Prishtina,2,40.0,69.5,23.0,62.0,0.371,8.0,29.5,0.271,15.5,21.0,0.738,8.0,26.5,34.5,11.5,10.0,4.5,15.0,16.5,2019,Basketball-Champions-League---Qualification
24,Sakarya Buyuksehir Basketbol,2,40.0,68.5,22.0,57.5,0.383,7.5,27.5,0.273,17.0,24.0,0.708,9.0,19.0,28.0,15.5,8.5,2.5,13.5,20.5,2019,Basketball-Champions-League---Qualification
25,Hapoel Tel Aviv,2,40.0,67.5,25.5,62.0,0.411,5.5,23.0,0.239,11.0,16.0,0.688,12.0,25.5,37.5,8.5,7.5,3.0,16.5,21.5,2019,Basketball-Champions-League---Qualification
26,FC Porto Ferpinta,2,40.0,67.0,21.0,51.5,0.408,5.5,15.5,0.355,19.5,24.5,0.796,7.5,17.5,25.0,9.5,6.0,3.0,17.5,23.0,2019,Basketball-Champions-League---Qualification
27,Norrkoping,2,40.0,66.5,23.0,50.5,0.455,9.0,20.5,0.439,11.5,16.0,0.719,6.5,22.0,28.5,12.0,4.0,0.5,16.5,23.0,2019,Basketball-Champions-League---Qualification
28,AEK Larnaca,2,40.0,64.0,24.0,61.0,0.393,3.0,15.0,0.2,13.0,20.0,0.65,8.5,17.5,26.0,13.5,5.0,1.5,11.5,20.5,2019,Basketball-Champions-League---Qualification
29,Dinamo,2,40.0,59.0,20.5,54.0,0.38,7.0,24.0,0.292,11.0,22.0,0.5,8.0,22.0,30.0,9.5,6.5,3.0,19.5,21.5,2019,Basketball-Champions-League---Qualification
