#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Instituto Atletico Central Cordoba,5,40.0,81.2,29.6,66.0,0.448,8.2,23.4,0.35,13.8,23.2,0.595,10.2,24.4,34.6,17.2,6.0,0.6,13.0,19.0,2021,Basketball-Champions-League-Americas
2,Titanes de Barranquilla,6,40.0,80.8,28.3,66.3,0.427,11.3,31.8,0.356,12.8,20.0,0.642,7.5,22.8,30.3,19.2,8.5,3.2,10.5,21.2,2021,Basketball-Champions-League-Americas
3,Obras Sanitarias,4,40.0,80.5,29.8,64.0,0.465,8.8,23.0,0.38,12.3,17.3,0.71,6.0,27.8,33.8,14.8,4.8,1.3,12.5,19.3,2021,Basketball-Champions-League-Americas
4,Minas,7,40.0,80.1,28.7,67.0,0.429,9.7,27.9,0.349,13.0,18.1,0.717,10.3,28.9,39.1,17.0,6.0,2.7,12.0,21.0,2021,Basketball-Champions-League-Americas
5,Real Esteli,7,40.0,79.4,28.3,63.7,0.444,7.6,18.1,0.417,15.3,21.3,0.718,9.6,30.1,39.7,18.1,6.0,3.4,15.7,19.0,2021,Basketball-Champions-League-Americas
6,San Lorenzo de Almagro,5,40.0,79.2,28.6,66.8,0.428,9.6,29.6,0.324,12.4,17.8,0.697,8.4,26.8,35.2,15.6,6.0,2.2,9.6,16.2,2021,Basketball-Champions-League-Americas
7,Flamengo,6,40.0,79.2,27.8,68.5,0.406,12.7,43.3,0.292,10.8,14.5,0.747,9.2,27.5,36.7,20.3,7.2,1.5,10.3,19.3,2021,Basketball-Champions-League-Americas
8,Franca,5,40.0,77.6,27.8,65.0,0.428,7.0,25.0,0.28,15.0,19.6,0.765,8.2,28.6,36.8,15.2,6.2,2.8,14.4,19.2,2021,Basketball-Champions-League-Americas
9,Quimsa,5,41.0,77.0,27.4,68.4,0.401,10.0,30.8,0.325,12.2,16.2,0.753,7.0,24.6,31.6,16.2,10.0,2.6,10.0,19.0,2021,Basketball-Champions-League-Americas
10,Sao Paulo FC,6,40.8,74.3,27.3,69.2,0.395,8.0,29.0,0.276,11.7,15.7,0.745,9.5,33.0,42.5,14.7,5.8,3.0,10.2,15.0,2021,Basketball-Champions-League-Americas
11,Uni. Concepcion,4,40.0,74.3,28.8,67.5,0.426,6.0,21.5,0.279,10.8,17.3,0.623,11.0,28.3,39.3,12.8,5.0,4.0,14.0,14.5,2021,Basketball-Champions-League-Americas
12,Caballo de Cocle,6,40.0,73.3,25.8,62.0,0.417,6.0,18.0,0.333,15.7,22.0,0.712,8.7,27.0,35.7,15.5,5.2,1.7,13.5,20.8,2021,Basketball-Champions-League-Americas
