#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Unicaja,14,39.9,84.7,30.4,63.1,0.481,10.1,26.4,0.381,13.9,18.6,0.747,9.1,23.6,32.6,20.8,7.6,2.2,12.1,21.0,2023,Basketball-Champions-League-Europe
2,Hapoel Unet Holon,14,41.7,84.4,28.9,61.5,0.469,11.3,28.2,0.4,15.4,19.6,0.788,8.7,24.9,33.6,20.9,6.0,2.5,13.2,18.7,2023,Basketball-Champions-League-Europe
3,Lietuvos Rytas,15,39.8,83.5,28.8,62.3,0.462,10.0,26.4,0.379,15.9,20.6,0.773,10.5,23.5,34.1,16.7,4.9,2.9,14.5,22.3,2023,Basketball-Champions-League-Europe
4,Telekom Baskets Bonn,15,39.8,83.5,29.5,63.8,0.462,10.1,27.3,0.369,14.5,19.7,0.736,10.9,22.5,33.4,18.5,6.7,2.1,12.9,22.0,2023,Basketball-Champions-League-Europe
5,MHP Riesen,9,40.6,83.1,29.1,69.3,0.42,10.2,30.2,0.338,14.7,18.6,0.79,12.2,23.1,35.3,18.2,7.9,1.7,14.0,20.7,2023,Basketball-Champions-League-Europe
6,UCAM Murcia CB,16,40.6,83.1,26.8,62.6,0.428,9.1,26.4,0.346,20.3,25.5,0.797,10.5,24.5,35.0,15.2,5.9,2.7,15.3,24.8,2023,Basketball-Champions-League-Europe
7,BAXI Manresa,15,39.9,82.1,29.3,63.9,0.458,9.0,26.0,0.346,14.5,18.1,0.801,8.6,21.5,30.1,18.9,6.9,2.1,13.5,20.5,2023,Basketball-Champions-League-Europe
8,Lenovo Tenerife,15,39.9,81.9,28.7,59.1,0.486,10.7,27.1,0.397,13.7,17.3,0.792,7.5,21.7,29.1,18.5,6.7,1.7,13.4,18.7,2023,Basketball-Champions-League-Europe
9,Pinar Karsiyaka,8,39.9,81.0,27.8,63.5,0.437,9.0,26.3,0.343,16.5,23.6,0.698,9.5,20.5,30.0,16.1,7.4,1.6,11.3,21.9,2023,Basketball-Champions-League-Europe
10,Galatasaray,12,40.3,80.9,27.8,65.2,0.427,10.8,31.8,0.34,14.4,19.1,0.755,8.6,24.7,33.3,17.8,6.8,2.2,10.4,17.4,2023,Basketball-Champions-League-Europe
11,Strasbourg IG,15,40.9,80.7,30.3,63.8,0.475,7.8,22.7,0.344,12.3,16.6,0.739,9.7,22.3,32.1,17.7,7.7,2.6,14.7,22.3,2023,Basketball-Champions-League-Europe
12,Peristeri BC,9,40.4,79.2,27.3,63.0,0.434,9.4,28.4,0.332,15.1,20.9,0.723,9.3,19.3,28.7,18.2,8.6,1.9,13.1,21.1,2023,Basketball-Champions-League-Europe
13,Tofas SC,8,40.6,79.0,28.1,61.3,0.459,8.6,22.9,0.377,14.1,20.6,0.685,8.9,21.6,30.5,17.4,8.0,2.4,15.8,22.9,2023,Basketball-Champions-League-Europe
14,Falco-Vulcano Energia KC Szombathely,6,39.8,78.7,27.3,63.7,0.429,7.2,21.2,0.339,16.8,21.5,0.783,10.7,19.0,29.7,17.3,6.2,2.2,14.0,21.3,2023,Basketball-Champions-League-Europe
15,Banco di Sardegna Sassari,6,39.8,78.3,26.8,55.8,0.481,7.0,20.8,0.336,17.7,22.5,0.785,7.5,22.3,29.8,19.2,7.8,2.3,18.0,20.0,2023,Basketball-Champions-League-Europe
16,BC Igokea,8,39.8,78.3,28.8,63.8,0.451,7.5,24.0,0.313,13.3,19.0,0.697,9.1,23.9,33.0,17.9,8.0,1.6,12.0,18.9,2023,Basketball-Champions-League-Europe
17,JDA Dijon Basket,15,40.6,78.2,29.3,62.3,0.471,7.3,23.4,0.311,12.3,15.7,0.783,7.9,20.1,27.9,19.3,8.7,1.8,13.8,20.1,2023,Basketball-Champions-League-Europe
18,Darussafaka Basketbol Istanbul,14,40.9,78.1,28.4,64.6,0.439,6.8,23.8,0.285,14.6,19.1,0.761,9.9,23.1,33.1,16.3,9.1,2.6,16.1,22.4,2023,Basketball-Champions-League-Europe
19,Telenet BC Oostende,9,41.0,78.0,27.7,62.1,0.445,10.4,28.9,0.362,12.2,15.8,0.775,7.2,26.1,33.3,19.0,5.6,2.9,14.1,21.0,2023,Basketball-Champions-League-Europe
20,Bnei Herzelia,6,40.0,78.0,26.8,61.2,0.439,6.3,22.2,0.286,18.0,22.5,0.8,9.5,23.0,32.5,18.2,6.2,3.2,13.8,17.3,2023,Basketball-Champions-League-Europe
21,SL Benfica,8,40.6,77.3,28.1,64.3,0.438,9.0,27.8,0.324,12.0,16.9,0.711,10.0,21.3,31.3,18.5,10.3,2.4,15.5,18.4,2023,Basketball-Champions-League-Europe
22,Hapoel Bank Yahav Jerusalem,15,40.0,77.1,27.9,59.4,0.469,8.8,24.7,0.357,12.6,19.9,0.634,7.7,22.3,29.9,19.3,7.8,3.5,12.0,19.6,2023,Basketball-Champions-League-Europe
23,Bilbao Basket,12,39.9,77.0,26.4,60.8,0.435,9.2,26.7,0.344,15.0,19.6,0.766,8.8,22.7,31.5,17.3,6.5,4.5,12.4,18.4,2023,Basketball-Champions-League-Europe
24,CSP Limoges,15,40.5,75.3,27.7,58.2,0.475,7.6,21.1,0.361,12.3,17.1,0.723,7.3,22.9,30.3,17.1,5.9,2.3,14.1,18.5,2023,Basketball-Champions-League-Europe
