#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Borisfen Mogilev,35,40.0,86.8,31.9,67.3,0.474,8.9,25.9,0.343,14.1,20.5,0.689,9.8,27.3,37.1,23.0,15.1,1.9,18.3,20.1,2022,Belarusian-BPL,0
2,Grodno-93,37,40.1,85.7,32.5,67.3,0.483,7.5,22.5,0.332,13.1,19.2,0.683,9.8,28.5,38.4,24.9,10.5,3.0,17.7,20.3,2022,Belarusian-BPL,0
3,Rubon,38,40.0,84.9,30.3,71.1,0.426,7.8,27.2,0.287,16.6,25.0,0.662,12.9,26.7,39.6,20.3,12.2,2.5,18.2,19.8,2022,Belarusian-BPL,0
4,Tsmoki-Minsk,8,40.0,84.6,29.5,61.5,0.48,11.0,28.0,0.393,14.6,21.0,0.696,8.8,26.9,35.6,21.3,10.3,3.6,16.3,19.3,2022,Belarusian-BPL,1
5,GOCOR-Soj Gomel,33,40.2,83.9,30.7,70.6,0.435,8.2,25.4,0.324,14.3,21.5,0.664,13.8,27.5,41.3,20.8,14.1,2.6,19.4,17.9,2022,Belarusian-BPL,0
6,Tsmoki-Minsk (2),34,39.7,75.8,27.4,64.2,0.426,6.8,23.0,0.297,14.2,20.2,0.702,10.9,24.0,34.9,20.1,11.8,2.1,17.7,18.6,2022,Belarusian-BPL,1
7,Brest Region,27,40.0,73.8,27.7,72.9,0.38,6.0,24.9,0.24,12.4,19.9,0.625,14.3,25.4,39.6,16.2,13.1,2.3,21.2,20.9,2022,Belarusian-BPL,0
8,Impuls-BGUIR,37,40.0,72.1,26.5,65.0,0.408,6.4,22.2,0.287,12.7,18.9,0.673,10.2,26.2,36.5,20.0,11.5,2.9,20.4,19.1,2022,Belarusian-BPL,0
9,Grondo-GrGU,28,40.2,69.8,26.0,63.8,0.408,5.3,19.7,0.266,12.5,20.5,0.609,9.6,21.4,31.1,16.1,16.2,2.6,26.7,18.9,2022,Belarusian-BPL,0
10,Tsmoki Minsk III,35,40.2,64.3,24.5,63.2,0.387,5.6,21.0,0.268,9.7,14.9,0.654,9.3,22.8,32.1,15.2,10.7,2.4,20.3,18.7,2022,Belarusian-BPL,0
11,RCOP-SDUSHOR,28,40.0,55.8,20.7,60.5,0.343,4.9,19.8,0.246,9.5,16.5,0.578,10.4,25.8,36.1,11.0,9.0,2.2,31.8,18.3,2022,Belarusian-BPL,0
