#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Tsmoki-Minsk,6,40.0,94.3,38.5,71.3,0.54,7.7,22.3,0.343,9.7,15.7,0.617,11.0,25.7,36.7,25.8,11.5,3.5,12.7,22.0,2023,Belarusian-BPL
2,Grodno-93,36,40.1,89.6,33.1,68.1,0.486,8.7,25.6,0.338,14.7,20.1,0.732,10.8,29.0,39.8,27.0,8.9,2.6,15.6,20.9,2023,Belarusian-BPL
3,Rubon,36,40.1,83.9,29.9,68.0,0.44,7.6,26.2,0.29,16.4,22.7,0.724,11.2,26.7,37.9,22.9,10.3,2.5,16.7,18.6,2023,Belarusian-BPL
4,Borisfen Mogilev,36,39.6,83.5,30.4,67.0,0.454,9.1,28.1,0.324,13.6,19.6,0.696,10.9,25.3,36.2,23.8,11.4,2.2,15.3,17.3,2023,Belarusian-BPL
5,RCOP-SDUSHOR,30,40.2,76.9,28.0,71.7,0.391,6.6,24.0,0.276,14.3,22.0,0.649,16.0,27.3,43.3,15.5,12.4,2.8,23.0,18.4,2023,Belarusian-BPL
6,Grondo-GrGU,30,40.2,72.6,27.4,70.4,0.389,3.4,15.9,0.213,14.4,24.3,0.595,13.5,23.6,37.1,16.7,18.5,2.2,21.2,20.4,2023,Belarusian-BPL
7,Impuls-BGUIR,36,39.2,72.4,25.7,66.7,0.386,8.9,28.6,0.311,12.0,17.1,0.703,11.0,23.6,34.6,18.6,10.5,2.6,19.6,18.8,2023,Belarusian-BPL
8,Tsmoki Minsk III,31,40.4,71.9,26.8,68.4,0.392,5.7,23.9,0.241,12.5,20.0,0.627,12.7,26.5,39.2,16.5,10.5,2.5,20.1,17.8,2023,Belarusian-BPL
9,Brest Region,29,40.2,71.6,28.3,74.1,0.382,5.3,23.0,0.23,9.8,16.8,0.582,11.8,28.2,40.0,16.2,13.5,4.2,18.7,19.6,2023,Belarusian-BPL
10,Rubon (2),30,40.1,70.6,26.5,66.1,0.402,3.9,15.6,0.249,13.7,23.6,0.578,13.6,32.5,46.1,16.5,11.9,4.4,26.7,17.4,2023,Belarusian-BPL
11,Tsmoki-Minsk (2),34,40.1,70.4,25.9,65.0,0.399,6.9,25.5,0.271,11.6,17.4,0.668,10.9,23.6,34.5,19.4,9.9,2.2,17.5,18.7,2023,Belarusian-BPL
12,Mogliev,28,40.1,67.3,24.5,69.8,0.352,5.1,23.2,0.222,13.1,23.5,0.559,14.3,27.6,41.9,13.5,10.2,2.8,24.9,22.1,2023,Belarusian-BPL
13,GOCOR-Soj Gomel,36,40.0,60.9,23.6,65.1,0.363,5.6,21.2,0.266,8.0,13.3,0.603,10.1,24.1,34.3,16.8,7.5,1.6,20.6,16.7,2023,Belarusian-BPL
