#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,BC Igokea,17,40.0,80.8,30.0,59.8,0.501,6.6,19.4,0.343,14.2,18.2,0.78,8.2,23.1,31.4,16.6,11.5,1.8,11.4,20.9,2013,Bosnian-BiH-Liga,1
2,KK Vogosca,22,40.7,80.5,29.1,60.3,0.482,6.9,22.7,0.304,15.4,22.0,0.7,8.5,23.2,31.7,15.5,7.7,1.5,15.0,24.6,2013,Bosnian-BiH-Liga,0
3,HKK Zrinjski,22,40.4,77.7,28.7,60.6,0.474,6.2,20.9,0.298,14.0,20.4,0.69,10.0,21.8,31.8,12.3,6.1,0.7,14.1,21.9,2013,Bosnian-BiH-Liga,0
4,KK Bosna,33,40.2,76.6,27.9,58.1,0.48,7.5,23.1,0.327,13.3,18.8,0.706,7.8,22.8,30.7,15.1,5.8,2.1,15.8,21.6,2013,Bosnian-BiH-Liga,0
5,SL Takovo Leotar,22,40.2,76.2,27.1,58.3,0.465,7.4,22.2,0.332,14.7,19.5,0.751,10.3,23.1,33.4,12.1,5.4,1.3,13.3,19.3,2013,Bosnian-BiH-Liga,0
6,KK Kakanj,21,40.0,76.1,26.9,56.3,0.477,5.9,19.7,0.298,16.5,25.4,0.65,9.8,21.1,30.9,12.0,6.0,1.3,15.7,22.8,2013,Bosnian-BiH-Liga,0
7,HKK Posusje,21,40.3,75.7,28.0,58.7,0.477,6.4,20.7,0.308,13.1,20.9,0.629,8.3,18.9,27.1,17.1,8.8,1.3,15.3,25.2,2013,Bosnian-BiH-Liga,0
8,KK Mladost,34,40.3,75.0,28.3,53.6,0.527,6.8,19.7,0.346,11.6,16.3,0.712,6.8,18.5,25.4,14.6,6.5,2.2,10.8,20.8,2013,Bosnian-BiH-Liga,0
9,BC Siroki,16,40.0,74.1,25.7,56.8,0.453,6.9,22.6,0.305,15.9,21.1,0.754,8.6,24.7,33.3,12.8,6.1,2.6,11.8,20.4,2013,Bosnian-BiH-Liga,0
10,KK Varda Hidroelektrana,22,40.0,72.5,25.6,58.6,0.437,7.9,24.6,0.321,13.4,19.5,0.687,9.0,19.1,28.1,14.8,6.9,1.0,13.3,23.0,2013,Bosnian-BiH-Liga,0
11,HKK Capljina-Lasta,32,40.1,72.0,26.6,56.8,0.469,6.7,21.2,0.317,12.1,18.3,0.659,8.3,21.9,30.2,15.3,7.0,1.3,14.2,22.3,2013,Bosnian-BiH-Liga,0
12,KK Radnik Bijeljina,32,40.0,71.7,25.6,57.5,0.445,5.5,20.1,0.275,14.9,23.8,0.628,12.3,22.0,34.3,11.3,6.3,1.5,15.1,22.2,2013,Bosnian-BiH-Liga,0
13,Borac Nektar,21,40.2,71.6,25.6,58.8,0.436,7.0,22.5,0.309,13.4,19.0,0.705,9.8,18.5,28.3,12.0,7.0,0.7,13.8,22.5,2013,Bosnian-BiH-Liga,0
14,KK Servitium,21,40.0,67.5,24.8,57.2,0.433,6.0,22.0,0.27,12.0,17.1,0.703,9.5,21.0,30.4,11.3,4.4,1.0,14.7,18.9,2013,Bosnian-BiH-Liga,0
