#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,BC Igokea,4,40.0,90.5,31.5,59.0,0.534,10.0,26.5,0.377,17.5,23.3,0.753,11.3,21.3,32.5,21.3,7.8,3.0,14.5,24.5,2023,Bosnian-BiH-Liga
2,Buducnost Bijeljina,27,40.2,89.2,32.9,63.1,0.52,7.1,21.0,0.337,16.4,22.7,0.723,10.7,22.6,33.3,17.9,8.3,2.2,12.9,23.2,2023,Bosnian-BiH-Liga
3,Borac Nektar,26,40.1,84.8,30.2,63.8,0.472,9.5,26.9,0.352,15.0,20.3,0.739,11.0,26.7,37.7,19.5,7.2,2.0,14.2,20.3,2023,Bosnian-BiH-Liga
4,BC Siroki,26,40.2,84.4,31.2,64.5,0.483,7.3,24.5,0.3,14.7,20.1,0.73,12.9,25.8,38.7,17.5,8.2,2.4,11.8,21.1,2023,Bosnian-BiH-Liga
5,KK Bosna,25,40.1,82.8,30.8,63.4,0.487,9.0,26.0,0.345,12.2,16.6,0.737,10.3,21.4,31.6,17.4,6.7,1.4,14.0,19.2,2023,Bosnian-BiH-Liga
6,OKK Spars Sarajevo,24,40.0,82.3,29.8,61.5,0.484,9.2,24.6,0.374,13.5,19.7,0.687,7.7,24.0,31.6,14.8,5.8,1.1,14.6,19.4,2023,Bosnian-BiH-Liga
7,SL Takovo Leotar,24,40.2,79.9,28.6,59.4,0.481,8.3,22.8,0.366,14.4,19.1,0.753,8.3,21.9,30.2,14.8,6.2,1.3,13.0,24.6,2023,Bosnian-BiH-Liga
8,OKK Sloboda Tuzla,20,39.9,79.8,29.1,63.2,0.46,7.6,23.5,0.321,14.1,19.8,0.711,7.8,22.1,29.8,14.9,7.2,2.1,12.9,21.2,2023,Bosnian-BiH-Liga
9,KK Slavija,24,41.0,79.8,29.0,63.8,0.454,7.9,24.8,0.32,13.9,21.0,0.661,8.5,24.2,32.7,13.1,6.9,2.3,14.3,23.5,2023,Bosnian-BiH-Liga
10,Promo Donji Vakuf,22,40.4,79.1,28.5,59.9,0.477,6.8,20.5,0.333,15.2,21.0,0.721,9.0,19.9,28.9,16.5,6.3,1.8,14.0,22.0,2023,Bosnian-BiH-Liga
11,HKK Zrinjski,21,40.3,76.1,26.6,64.0,0.415,8.1,26.4,0.307,14.9,20.3,0.732,10.0,22.4,32.4,10.2,5.0,1.9,15.0,18.0,2023,Bosnian-BiH-Liga
12,KK Mladost,22,41.5,75.6,27.2,60.8,0.447,7.5,25.8,0.291,13.8,19.8,0.695,7.9,21.7,29.6,14.0,5.8,2.0,15.0,20.1,2023,Bosnian-BiH-Liga
13,HKK Posusje,21,40.5,74.6,26.8,60.5,0.443,8.2,25.8,0.319,12.8,19.1,0.671,8.0,24.0,32.0,14.1,3.4,1.8,11.6,20.1,2023,Bosnian-BiH-Liga
