#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Flamengo,33,40.9,87.7,30.0,64.6,0.464,9.0,26.5,0.34,18.8,24.5,0.765,9.6,26.9,36.5,20.4,6.2,2.0,12.5,19.9,2017,Brazilian-NBB,0
2,Mogi das Cruzes,33,40.7,81.8,28.0,63.5,0.442,10.7,30.1,0.354,15.1,20.7,0.729,8.6,24.0,32.6,18.9,8.4,1.2,11.7,20.1,2017,Brazilian-NBB,0
3,Pinheiros/Sky,43,40.1,81.6,28.1,62.2,0.452,6.7,21.2,0.317,18.6,25.2,0.737,9.1,24.4,33.6,16.9,7.4,2.6,13.0,21.6,2017,Brazilian-NBB,0
4,Bauru,45,40.1,81.5,27.9,61.6,0.453,9.8,28.0,0.348,16.0,22.1,0.721,8.1,26.4,34.5,17.4,7.1,2.1,13.3,20.1,2017,Brazilian-NBB,1
5,Uniceub-BRB-Brasilia,32,40.1,81.2,29.0,62.3,0.466,8.6,23.5,0.365,14.5,19.7,0.737,9.0,24.4,33.4,20.2,6.3,2.3,13.3,19.9,2017,Brazilian-NBB,0
6,Paulistano,46,40.2,80.6,27.3,64.5,0.424,10.0,29.3,0.343,15.9,20.6,0.775,10.1,23.2,33.2,16.8,6.7,2.4,12.1,20.9,2017,Brazilian-NBB,0
7,Franca,33,40.7,80.3,27.1,60.1,0.451,8.1,23.8,0.339,18.1,24.2,0.746,8.4,22.8,31.2,15.7,6.4,1.7,13.2,22.8,2017,Brazilian-NBB,0
8,Universo/Vitoria Salvador,41,40.3,76.8,26.8,61.3,0.437,7.7,23.0,0.335,15.4,21.1,0.733,7.7,23.9,31.6,16.4,7.8,1.5,13.6,22.0,2017,Brazilian-NBB,0
9,Minas,28,40.7,76.6,27.4,62.7,0.437,7.9,25.4,0.312,13.9,19.4,0.715,9.4,22.7,32.1,16.8,7.4,1.9,14.8,23.0,2017,Brazilian-NBB,0
10,Basquete Cearense,33,40.8,75.8,26.7,65.2,0.409,9.2,27.4,0.336,13.2,18.8,0.704,9.1,24.9,33.9,13.9,7.4,2.2,12.7,20.7,2017,Brazilian-NBB,0
11,Macae Basquete,31,40.4,75.8,27.1,61.1,0.444,7.5,22.2,0.337,14.0,18.2,0.773,7.6,21.0,28.7,16.4,6.6,1.6,12.8,22.5,2017,Brazilian-NBB,0
12,Vasco da Gama,33,40.3,75.7,25.5,57.5,0.443,8.4,23.3,0.359,16.4,20.9,0.785,7.4,21.5,28.9,15.6,6.8,1.2,13.3,21.0,2017,Brazilian-NBB,0
13,Campo Mourao,33,40.4,75.6,25.4,62.9,0.404,9.0,26.7,0.336,15.8,21.8,0.724,9.7,23.3,33.0,14.4,7.5,2.4,12.6,20.5,2017,Brazilian-NBB,0
14,Caxias Do Sul Basquetetriches,28,40.5,72.2,24.8,59.4,0.416,6.4,20.8,0.309,16.3,22.8,0.715,7.7,22.3,30.0,14.3,7.4,1.9,13.4,22.1,2017,Brazilian-NBB,0
15,Liga Sorocabana,28,40.4,68.6,24.2,61.2,0.396,7.5,24.6,0.304,12.7,17.7,0.719,10.8,20.6,31.5,14.0,7.7,1.6,13.5,23.7,2017,Brazilian-NBB,0
