#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Franca,37,40.3,90.4,31.2,63.6,0.491,11.3,28.6,0.394,16.6,21.5,0.776,8.4,28.7,37.1,18.8,5.6,2.3,12.8,17.6,2023,Brazilian-NBB
2,Sao Paulo FC,36,40.2,86.1,30.6,64.4,0.476,11.3,30.3,0.372,13.6,18.2,0.746,7.3,24.9,32.1,18.0,7.3,1.4,12.4,19.2,2023,Brazilian-NBB
3,Minas,37,40.1,85.0,31.1,63.6,0.489,9.8,26.2,0.376,13.0,17.2,0.757,8.9,27.9,36.9,19.7,5.9,1.9,14.1,18.1,2023,Brazilian-NBB
4,Flamengo,36,39.8,84.7,30.4,64.5,0.472,12.1,33.1,0.367,11.6,16.1,0.724,9.9,27.7,37.6,20.1,6.2,2.1,13.1,16.3,2023,Brazilian-NBB
5,Cerrado Basquete,32,40.2,81.3,28.3,65.7,0.431,12.3,35.7,0.344,12.4,17.9,0.69,8.5,24.0,32.4,15.7,6.5,1.9,15.6,15.8,2023,Brazilian-NBB
6,Pinheiros/Sky,38,40.1,80.9,29.2,67.1,0.435,8.4,25.9,0.325,14.2,20.5,0.692,11.6,27.1,38.8,18.4,7.4,2.1,14.5,20.2,2023,Brazilian-NBB
7,Sao Jose/Unimed/Vinac,35,39.8,80.7,29.8,64.1,0.465,9.2,26.4,0.348,11.9,16.4,0.726,8.6,23.9,32.6,20.3,6.3,2.4,12.3,18.7,2023,Brazilian-NBB
8,Corinthians,34,39.9,80.7,28.7,62.2,0.462,9.0,27.4,0.33,14.2,19.4,0.733,8.7,26.9,35.7,16.7,5.4,3.6,15.4,18.7,2023,Brazilian-NBB
9,Unifacisa Paraiba,39,40.3,78.9,27.9,63.6,0.439,9.9,27.8,0.356,13.1,17.6,0.746,8.1,24.4,32.5,14.8,6.6,1.4,12.9,20.0,2023,Brazilian-NBB
10,Uniao Corinthians,32,40.2,78.6,27.6,66.2,0.416,11.3,33.5,0.336,12.2,16.7,0.728,7.9,24.4,32.3,17.9,7.3,2.3,12.8,20.0,2023,Brazilian-NBB
11,Paulistano,40,39.8,78.5,28.9,69.1,0.419,8.5,26.8,0.316,12.2,17.0,0.72,11.9,24.0,35.9,14.6,7.6,2.4,11.6,19.8,2023,Brazilian-NBB
12,Bauru,39,40.0,78.3,27.9,61.7,0.453,10.3,29.0,0.353,12.1,16.1,0.756,7.2,22.9,30.1,17.4,7.4,1.6,10.9,18.9,2023,Brazilian-NBB
13,Uniceub-BRB-Brasilia,32,39.7,77.7,26.9,63.6,0.423,9.1,28.0,0.325,14.7,21.1,0.698,8.8,23.9,32.7,16.6,5.8,1.3,15.5,20.1,2023,Brazilian-NBB
14,Pato Basquete,35,39.9,77.4,28.5,65.2,0.437,8.7,27.3,0.318,11.8,17.3,0.679,9.3,21.9,31.2,14.0,8.0,1.3,13.8,19.4,2023,Brazilian-NBB
15,Rio Claro Basquete,32,40.0,75.9,27.7,64.8,0.427,7.6,24.5,0.308,13.0,18.3,0.71,8.7,21.8,30.5,16.2,6.7,1.5,12.3,21.3,2023,Brazilian-NBB
16,Basquete Cearense,32,39.9,73.8,26.9,65.8,0.409,7.6,25.4,0.3,12.3,20.0,0.617,9.8,25.5,35.3,13.0,6.6,1.7,13.5,20.5,2023,Brazilian-NBB
17,Caxias Do Sul Basquetetriches,34,40.0,72.5,25.6,61.9,0.414,7.8,25.0,0.311,13.4,18.9,0.712,7.0,23.8,30.8,12.8,7.3,2.1,13.8,19.3,2023,Brazilian-NBB
