#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Newcastle Eagles,35,40.7,89.1,33.7,73.9,0.457,8.4,24.7,0.339,13.2,17.1,0.771,9.1,27.1,36.2,23.0,8.6,2.5,12.2,16.0,2019,British-BBL,0
2,Surrey Scorchers,33,40.9,87.4,31.9,73.8,0.432,8.8,25.8,0.341,14.7,20.4,0.722,9.2,27.0,36.2,19.0,5.7,2.1,13.2,17.2,2019,British-BBL,0
3,Plymouth University Raiders,37,40.1,86.9,31.6,67.5,0.468,7.2,22.9,0.317,16.4,21.3,0.772,9.7,24.2,33.9,18.9,7.0,2.4,13.7,17.5,2019,British-BBL,0
4,London Lions,35,40.1,86.7,32.2,73.6,0.438,7.8,24.5,0.32,14.4,19.1,0.755,14.2,28.4,42.6,19.7,7.9,3.5,13.1,17.9,2019,British-BBL,1
5,Manchester Giants,34,40.6,85.9,33.9,73.0,0.464,7.3,21.1,0.344,10.8,17.2,0.628,13.6,25.9,39.6,19.0,7.6,2.5,15.8,17.0,2019,British-BBL,0
6,Cheshire Phoenix,35,40.3,85.0,32.4,67.2,0.482,8.3,21.8,0.378,12.0,16.7,0.718,9.9,23.3,33.2,19.1,8.3,2.4,14.7,16.3,2019,British-BBL,0
7,Caledonia Gladiators,35,40.9,83.5,31.7,67.6,0.469,8.7,24.0,0.361,11.4,15.9,0.716,8.3,25.1,33.5,19.3,7.7,3.5,13.6,18.2,2019,British-BBL,0
8,Worcester Wolves,35,40.9,83.0,30.7,69.7,0.441,8.3,25.2,0.33,13.3,18.3,0.725,9.3,24.7,34.1,17.3,7.8,2.5,15.8,18.5,2019,British-BBL,0
9,London City Royals,38,40.4,83.0,30.4,66.7,0.456,7.6,21.8,0.347,14.6,20.9,0.7,11.0,26.6,37.5,16.7,8.0,2.9,14.9,17.8,2019,British-BBL,0
10,Leicester Riders,38,40.1,80.6,29.3,65.2,0.45,8.1,24.2,0.335,13.9,18.8,0.737,9.0,26.2,35.2,19.6,6.2,2.6,12.9,14.7,2019,British-BBL,0
11,Bristol Flyers,33,40.8,79.2,29.4,70.3,0.418,7.1,23.9,0.298,13.2,18.4,0.718,12.2,25.9,38.1,16.7,7.8,3.7,13.8,18.5,2019,British-BBL,0
12,Sheffield Sharks,37,40.4,78.4,29.7,64.8,0.458,6.9,20.5,0.335,12.2,15.1,0.805,7.8,25.3,33.1,17.9,6.5,1.9,12.5,16.4,2019,British-BBL,0
