#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,PBC Lukoil Academic Sofia,39,39.9,89.8,33.6,62.4,0.538,7.1,18.9,0.373,15.7,22.0,0.713,8.0,25.8,33.8,20.5,10.4,2.7,13.9,20.3,2013,Bulgarian-NBL,1
2,BC Levski Lukoil,39,40.0,85.1,30.6,60.6,0.506,7.9,21.3,0.37,16.1,22.2,0.725,9.3,24.8,34.1,17.8,8.9,1.9,14.4,24.3,2013,Bulgarian-NBL,0
3,BC Rilski Sportist,35,40.1,84.8,30.8,64.4,0.478,8.8,23.7,0.372,14.5,19.9,0.727,9.8,23.2,33.0,16.1,9.5,3.3,14.6,19.5,2013,Bulgarian-NBL,0
4,BC Balkan,34,40.4,81.0,27.8,58.4,0.476,7.2,21.0,0.344,18.1,24.0,0.757,7.8,25.3,33.1,15.2,7.2,1.9,14.1,22.1,2013,Bulgarian-NBL,0
5,BC Beroe Stara Zagora,29,40.2,80.9,28.7,61.5,0.467,5.7,16.9,0.336,17.7,24.4,0.727,10.3,23.4,33.8,15.7,8.5,2.7,15.2,21.3,2013,Bulgarian-NBL,0
6,Chernomorets Burgas,29,39.8,80.7,28.8,61.9,0.465,7.7,23.0,0.335,15.4,24.3,0.634,11.8,25.7,37.5,16.2,7.0,3.9,19.6,22.0,2013,Bulgarian-NBL,0
7,Euroins Cherno More,29,40.4,77.5,28.0,65.4,0.428,6.1,20.9,0.292,15.3,22.3,0.687,12.4,23.2,35.6,15.2,8.3,1.8,14.7,20.9,2013,Bulgarian-NBL,0
8,Tundja Yambol,30,40.3,77.3,29.6,63.8,0.463,5.6,16.4,0.342,12.6,18.5,0.681,10.7,24.7,35.4,15.6,9.3,2.1,15.7,22.0,2013,Bulgarian-NBL,0
9,Spartak Pleven,27,40.4,75.3,25.3,60.4,0.418,10.0,30.4,0.33,14.7,19.9,0.743,7.3,21.4,28.7,15.4,6.2,1.2,15.5,19.0,2013,Bulgarian-NBL,0
10,Bulgaria U20,27,40.2,66.4,23.4,61.6,0.381,7.6,24.5,0.31,11.9,18.7,0.639,11.4,18.6,30.1,13.2,8.6,1.4,18.1,24.8,2013,Bulgarian-NBL,0
