#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,PBC Lukoil Academic Sofia,35,40.1,91.3,34.5,66.6,0.519,9.0,26.2,0.344,13.2,17.3,0.767,9.5,25.1,34.6,21.0,9.8,2.2,13.1,21.1,2016,Bulgarian-NBL
2,BC Balkan,35,40.4,88.0,32.0,63.0,0.507,10.0,26.2,0.382,14.1,19.2,0.736,8.9,27.2,36.1,17.3,7.3,2.5,12.3,22.4,2016,Bulgarian-NBL
3,BC Rilski Sportist,34,40.1,85.4,32.1,66.1,0.486,7.9,23.4,0.34,13.3,19.1,0.698,9.6,25.4,34.9,16.2,7.7,1.5,11.1,20.1,2016,Bulgarian-NBL
4,BC Beroe Stara Zagora,30,40.1,82.3,29.2,62.9,0.464,10.5,27.7,0.378,13.4,18.5,0.726,9.2,23.1,32.2,15.6,9.1,1.5,14.0,21.4,2016,Bulgarian-NBL
5,Euroins Cherno More,29,40.3,80.7,29.7,62.9,0.472,7.3,22.5,0.327,14.0,19.9,0.701,8.8,25.1,33.9,16.6,6.6,1.7,14.3,19.4,2016,Bulgarian-NBL
6,Spartak Pleven,35,40.3,79.5,27.7,60.4,0.459,8.7,26.5,0.327,15.5,20.3,0.763,7.3,23.9,31.2,16.9,5.5,1.1,14.9,18.8,2016,Bulgarian-NBL
7,BC Levski Lukoil,29,40.3,78.6,28.5,65.9,0.432,8.6,27.7,0.31,13.1,19.1,0.685,11.7,23.1,34.7,16.1,7.8,2.5,14.6,20.6,2016,Bulgarian-NBL
8,Tundja Yambol,29,40.0,78.0,30.4,65.3,0.465,5.7,19.0,0.3,11.5,17.0,0.677,9.6,23.4,32.9,14.1,7.2,1.5,14.9,21.1,2016,Bulgarian-NBL
9,Akademik Bulteks 99 Plovdiv,27,40.0,76.0,26.5,63.7,0.416,7.6,25.4,0.299,15.3,19.4,0.792,9.0,23.1,32.0,12.9,6.0,0.9,13.4,22.5,2016,Bulgarian-NBL
10,Chernomorets Burgas,27,40.0,71.6,26.6,64.3,0.414,9.0,27.7,0.324,9.4,13.4,0.699,7.6,21.4,29.0,14.0,5.3,1.5,13.5,16.3,2016,Bulgarian-NBL
