#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Niagara River Lions,22,40.0,88.3,31.2,67.8,0.46,8.6,24.6,0.351,17.2,22.2,0.775,8.9,26.1,35.0,17.0,9.4,4.8,15.3,20.7
2,Guelph Nighthawks,22,39.9,87.3,31.5,68.1,0.463,10.0,28.3,0.353,14.3,18.9,0.757,7.7,25.6,33.3,17.7,6.1,3.7,14.3,17.5
3,Scarborough Shooting Stars,23,40.0,87.2,32.3,71.4,0.452,10.2,28.7,0.355,12.4,17.2,0.72,9.8,27.3,37.1,16.4,7.0,3.2,13.7,17.0
4,Ottawa Blackjacks,21,40.0,86.3,31.0,68.3,0.454,8.6,24.3,0.355,15.6,23.7,0.658,11.2,27.4,38.6,19.1,7.3,3.5,15.1,17.4
5,Vancouver Bandits,21,40.0,85.9,31.0,68.7,0.45,11.1,29.3,0.38,12.8,16.9,0.76,9.0,26.0,35.0,17.3,6.5,2.8,14.0,17.6
6,Edmonton Stingers,21,40.1,85.0,31.8,71.8,0.443,8.3,25.7,0.323,13.1,18.1,0.726,11.0,26.4,37.3,20.6,7.3,3.1,14.2,19.0
7,Newfoundland Growlers,20,40.0,85.0,30.3,66.9,0.453,9.1,26.2,0.346,15.3,20.5,0.746,8.7,24.2,32.9,17.8,8.2,3.1,15.6,17.9
8,Brampton Honey Badgers,22,40.0,84.7,31.0,69.3,0.447,10.1,29.3,0.346,12.6,18.3,0.692,11.1,26.1,37.2,18.4,9.1,3.3,15.7,19.8
9,Saskatchewan Rattlers,22,40.0,84.3,29.5,67.3,0.439,10.7,28.6,0.373,14.5,19.7,0.739,8.9,26.1,35.0,15.6,5.9,2.4,14.1,18.0
10,Montreal Alliance,20,40.0,76.2,27.7,64.8,0.428,7.2,20.5,0.352,13.6,19.2,0.706,8.4,23.9,32.3,16.6,8.3,2.0,13.4,18.7
