#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,London Lightning,53,48.1,114.6,40.8,86.0,0.474,11.1,30.5,0.365,22.0,29.9,0.735,12.1,33.6,45.7,26.3,9.9,3.3,15.7,26.4,2017,Canadian-NBL,1
2,Island Storm,51,48.5,107.4,38.3,84.9,0.451,8.5,24.3,0.349,22.4,30.6,0.732,11.1,30.8,41.9,23.6,9.0,3.2,15.4,22.9,2017,Canadian-NBL,0
3,Moncton Magic,42,48.2,106.8,38.6,86.0,0.449,12.1,34.2,0.354,17.5,25.5,0.687,10.9,32.1,43.0,20.6,8.0,3.9,18.0,27.9,2017,Canadian-NBL,0
4,Halifax Hurricanes,55,48.3,106.0,39.7,85.4,0.466,8.3,24.5,0.338,18.2,24.9,0.731,13.6,32.5,46.1,23.4,8.0,3.7,16.5,26.7,2017,Canadian-NBL,0
5,Saint John Riptide,45,48.3,106.0,38.4,87.5,0.439,10.9,30.8,0.353,18.3,25.2,0.726,13.2,31.8,45.1,22.2,8.4,4.3,14.9,24.3,2017,Canadian-NBL,0
6,Orangeville A's,42,48.4,105.9,39.0,86.0,0.453,8.9,25.9,0.342,19.1,26.2,0.728,11.9,33.2,45.0,25.1,8.3,3.0,18.2,25.4,2017,Canadian-NBL,0
7,Windsor Express,47,48.7,102.6,37.9,85.4,0.444,9.4,26.6,0.355,17.3,23.6,0.732,12.2,32.0,44.2,25.0,8.2,5.9,15.6,24.3,2017,Canadian-NBL,0
8,KW Titans,43,48.3,102.3,36.2,83.3,0.435,10.3,30.4,0.34,19.5,26.5,0.737,11.4,32.2,43.6,21.7,8.8,4.9,19.0,24.2,2017,Canadian-NBL,0
9,Cape Breton Highlanders,40,47.8,102.1,36.4,80.4,0.452,9.5,27.3,0.348,19.9,27.7,0.719,10.2,33.6,43.8,20.6,6.1,3.3,17.5,20.0,2017,Canadian-NBL,0
10,Niagara River Lions,40,48.2,100.8,37.0,83.2,0.444,8.5,28.2,0.301,18.4,26.3,0.698,12.3,30.6,42.9,22.6,9.0,5.0,18.6,23.2,2017,Canadian-NBL,0
