Team,Titles,Year(s) won,Notes
Perth Wildcats,10,"1990, 1991, 1995, 2000, 2010, 2014, 2016, 2017, 2019, 2020",Record holder of consecutive finals appearances in a major Australian professional sports competition.
Melbourne United,6,"1993, 1997, 2006, 2008, 2018, 2021",Four championships won as the Melbourne Tigers. Rebranded as Melbourne United in 2014.
Sydney Kings,5,"2003, 2004, 2005, 2022, 2023",Formed in 1988 after Sydney Supersonics and West Sydney Westars merged.First NBL team to win 3 championships in a row.
Adelaide 36ers,4,"1986, 1998, 1999, 2002",Won the first multi-game Grand Final series in 1986.
New Zealand Breakers,4,"2011, 2012, 2013, 2015","First New Zealand-based team and champions in the NBL, won 4 titles in 5 seasons."
Canberra Cannons†,3,"1983, 1984, 1988",Became the Hunter Pirates in 2003.
Brisbane Bullets,3,"1985, 1987, 2007",Won the last single-game Grand Final in 1985.
St. Kilda Saints†,2,"1979, 1980",Known as the Westside Saints from 1987 to 1990 and the Southern Melbourne Saints in 1991.
North Melbourne Giants†,2,"1989, 1994",Known as the Coburg Giants from 1980 to 1986.Merged to form the Victoria Titans in 1998.
S.E. Melbourne Magic†,2,"1992, 1996",Formed in 1992 after the Southern Melbourne Saints and the Eastside Spectres merged.Merged to form the Victoria Titans in 1998.
Launceston Casino City†,1,1981,Team folded in 1983.
West Adelaide Bearcats*,1,1982,Team left the NBL in 1984.
Illawarra Hawks,1,2001,"Known as the Illawarra Hawks from 1979 to 1998, 2015–2020, and 2021–present; the Wollongong Hawks from 1998 to 2015; and The Hawks from 2020 to 2021."
South Dragons†,1,2009,Team left the NBL in 2009.
"† Defunct club.* Former club, now competes in NBL1.","† Defunct club.* Former club, now competes in NBL1.","† Defunct club.* Former club, now competes in NBL1.","† Defunct club.* Former club, now competes in NBL1."
