Season,Host,Unnamed: 2,Champion,Result,Runner-up,Arena
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2008–09,Samokov,Rilski Sportist,84–77,Feršped Rabotnički,Arena Samokov,
2009–10,Sofia,Levski Sofia,77–65,Lovćen,Universiada Hall,
2010–11,Kavadarci,Feni Industries,88–75,Rilski Sportist,Jasmin Sports Hall,
2011–12,Gan Ner,Hapoel Gilboa Galil,89–84,Levski Sofia,Gan Ner Sports Hall,
2012–13,Samokov,Hapoel Gilboa Galil,87–79,Levski Sofia,Arena Samokov,
2013–14,Pristina,Levski Sofia,75–69,Hapoel Gilboa Galil,Pallati i Rinisë dhe Sporteve,
2014–15,Pristina Samokov,Sigal Prishtina,74−7280–71,Rilski Sportist,Pallati i Rinisë dhe SporteveArena Samokov,
2015–16,Pristina Bar,Sigal Prishtina,82−6868−75,Mornar,Pallati i Rinisë dhe SporteveSportska dvorana Topolica,
2016–17,Stara Zagora Kumanovo,Beroe,84−5577−73,Kumanovo,Obshtinska zala Ivan VazovSports Hall Kumanovo,
2017–18,Samokov,Levski Sofia,83−72,Bashkimi,Arena Samokov,
2018–19,Tirana,Blokotehna,82–68,Teuta,Feti Borova Sport Hall,
2019–20,Cancelled due to COVID-19 pandemic,Cancelled due to COVID-19 pandemic,Cancelled due to COVID-19 pandemic,Cancelled due to COVID-19 pandemic,Cancelled due to COVID-19 pandemic,Cancelled due to COVID-19 pandemic
2020–21,Holon,Hapoel Holon,91–75,Academic Plovdiv,Holon Toto Hall,
2021–22,Nahariya,Hapoel Galil Elyon,86–70,Maccabi Haifa,Ein Sara Sport Hall,
2022–23,Stara Zagora,Hapoel Be'er Sheva/Dimona,99−95,Peja,Obshtinska zala Ivan Vazov,
