Club,Winner,Year(s) won,Runner up,Year.1
Rabotnički,15,"1993, 1994, 1995, 1996, 1997, 1998, 1999, 2001, 2002, 2003, 2004, 2005, 2006, 2009, 2018",5,"2000, 2007, 2011, 2014, 2019"
MZT Skopje Aerodrom,9,"2012, 2013, 2014, 2015, 2016, 2017, 2019, 2021, 2022",7,"1993, 1996, 1998, 1999, 2001, 2004, 2018"
Feni Industries,3,"2008, 2010, 2011",2,"2009, 2012"
Strumica 2005,1,2007,2,"2003, 2008"
Nikol Fert Gostivar,1,2000,/,/
Kumanovo,/,/,3,"2002, 2015, 2016"
Vardar,/,/,2,"2005, 2006"
Kočani Delikates,/,/,2,"1994, 1995"
Pelister,/,/,1,2022
Karpoš Sokoli,/,/,1,2017
Kožuv,/,/,1,2013
Vardar Osiguruvanje,/,/,1,2010
Žito Vardar,/,/,1,1997
