Year,Host,Unnamed: 2_level_0,Final,Final,Final,Final,Final
Year,Host,Unnamed: 2_level_1,Champion,Score,Runner-up,Unnamed: 6_level_1,Unnamed: 7_level_1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2003Details,Čair Sports CenterNiš,FMP,88–67,Hemofarm,,,
2004Details,SPC VojvodinaNovi Sad,Crvena zvezda,91–89 (OT),Reflex,,,
2005Details,Millennium CentarVršac,Reflex,88–84,Partizan Pivara MB,,,
2006Details,Pionir HallBelgrade,Crvena zvezda,80–65,Hemofarm,,,
2007Details,Jezero HallKragujevac,FMP,73–61,Partizan,,,
2008Details,Čair Sports CenterNiš,Partizan Igokea,73–64,Hemofarm,,,
2009Details,Čair Sports CenterNiš,Partizan Igokea,80–65,Crvena zvezda,,,
2010Details,Čair Sports CenterNiš,Partizan,72–62,FMP,,,
2011Details,Železnik HallBelgrade,Partizan,77–73,FMP,,,
2012Details,Čair Sports CenterNiš,Partizan mt:s,64–51,Crvena zvezda,,,
2013Details,Jezero HallKragujevac,Crvena zvezda,78–69,Partizan mt:s,,,
2014Details,Pionir HallBelgrade,Crvena zvezda Telekom,81–80,Mega Vizura,,,
2015Details,Čair Sports CenterNiš,Crvena zvezda Telekom,80–74,Mega Leks,,,
2016Details,Čair Sports CenterNiš,Mega Leks,85–80,Partizan NIS,,,
2017Details,Čair Sports CenterNiš,Crvena zvezda mts,74–64,Partizan NIS,,,
2018Details,Čair Sports CenterNiš,Partizan NIS,81–75,Crvena zvezda mts,,,
2019Details,Čair Sports CenterNiš,Partizan NIS,76–74,Crvena zvezda mts,,,
2020Details,Čair Sports CenterNiš,Partizan NIS,85–84 (OT),Crvena zvezda mts,,,
2021Details,SPC VojvodinaNovi Sad,Crvena zvezda mts,73–60,Mega Soccerbet,,,
2022Details,Čair Sports CenterNiš,Crvena zvezda mts,85–68,Partizan NIS,,,
2023Details,Čair Sports CenterNiš,Crvena Zvezda Meridianbet,96–79,Mega MIS,,,
