Year,Champion,Final,Final,Final,Unnamed: 5_level_0,Semifinalists,Semifinalists
2001-02,Union Olimpija,73–59,Krka,Pivovarna Laško,Cibona VIP,,
2002-03,Zadar,91–88,Maccabi Tel Aviv,Crvena zvezda,Union Olimpija,,
2003-04,Reflex,71–70,Cibona VIP,Crvena zvezda,Union Olimpija,,
2004-05,Hemofarm,89–76,Partizan Pivara MB,Reflex,Crvena zvezda,,
2005-06,FMP,73–72,Partizan Pivara MB,Crvena zvezda,Hemofarm,,
2006-07,Partizan,2–0 playoffs,FMP,Cibona VIP,Hemofarm,,
2007-08,Partizan Igokea,69–51,Hemofarm,Union Olimpija,Zadar,,
2008-09,Partizan Igokea,63–49,Cibona VIP,Crvena zvezda,Hemofarm,,
2009-10,Partizan,75–74 (OT),Cibona VIP,Hemofarm,Union Olimpija,,
2010-11,Partizan,77–74,Union Olimpija,Budućnost m:tel,Krka,,
2011-12,Maccabi Tel Aviv,87–77,Cedevita,Budućnost VOLI,Partizan mt:s,,
2012-13,Partizan mt:s,71–63,Crvena zvezda Telekom,Igokea,Radnički Kragujevac,,
2013-14,Cibona,72–59,Cedevita,Crvena zvezda Telekom,Partizan,,
2014-15,Crvena zvezda Telekom,3–1 playoffs,Cedevita,Partizan NIS,Budućnost VOLI,,
2015-16,Crvena zvezda Telekom,3–0 playoffs,Mega Leks,Cedevita,Budućnost VOLI,,
2016-17,Crvena zvezda mts,3–0 playoffs,Cedevita,Budućnost VOLI,Partizan NIS,,
2017-18,Budućnost VOLI,3–1playoffs,Crvena zvezda mts,Cedevita,Mornar,,
2018-19,Crvena zvezda mts,3–2playoffs,Budućnost VOLI,Partizan NIS,Cedevita,,
2019-20,Canceled due to the COVID-19 pandemic – no champion announced,Canceled due to the COVID-19 pandemic – no champion announced,Canceled due to the COVID-19 pandemic – no champion announced,Canceled due to the COVID-19 pandemic – no champion announced,Canceled due to the COVID-19 pandemic – no champion announced,,
2020-21,Crvena zvezda mts,3–2playoffs,Budućnost VOLI,,Mornar,,
2021-22,Crvena zvezda mts,3–2playoffs,Partizan NIS,,Budućnost VOLI,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,Canceled due to the COVID-19 pandemic – no champion announced,
,,,,,,Igokea,
,,,,,,Cedevita Olimpija,
