Season,Champion,Result,Runners-up,Champions' coach,Finals MVP
2000–01,Kapfenberg Bulls,3–2,Wörthersee Piraten,,—
2001–02,Kapfenberg Bulls,3–2,Panthers Fürstenfeld,,—
2002–03,Kapfenberg Bulls,3–2,Swans Gmunden,,—
2003–04,Kapfenberg Bulls,3–1,Swans Gmunden,,—
2004–05,Swans Gmunden,3–0,Oberwart Gunners,Bob Gonnen,—
2005–06,Swans Gmunden,3–0,Kraftwerk Wels,Bob Gonnen,Peter Hütter
2006–07,Swans Gmunden,3–0,Oberwart Gunners,Bob Gonnen,De'Teri Mayes
2007–08,Panthers Fürstenfeld,3–2,Oberwart Gunners,Aaron Mitchell,Anthony Shavies
2008–09,Kraftwerk Wels,3–1,Swans Gmunden,Raoul Korner,Ricky Moore
2009–10,Swans Gmunden,3–2,Panthers Fürstenfeld,Matthias Fischer,De'Teri Mayes
2010–11,Oberwart Gunners,3–2,Swans Gmunden,Neno Ašćerić,Bernd Volcic
2011–12,Dukes Klosterneuburg,3–1,Swans Gmunden,Werner Sallomon,Christoph Nagler
2012–13,Zepter Vienna,3–2,Oberwart Gunners,Andrea Maghelli,Shawn Ray
2013–14,Güssing Knights,3–2,Kapfenberg Bulls,Matthias Zollner,Anthony Shavies
2014–15,Güssing Knights,3–1,Zepter Vienna,Matthias Zollner,Travis Taylor
2015–16,Redwell Oberwart Gunners,3–0,WBC Raiffeissen Wels,Chris Chougaz,Chris McNealy
2016–17,ece Bulls Kapfenberg,4–1,Redwell Oberwart Gunners,Michael Schrittwieser,Bogić Vujošević
2017–18,ece Bulls Kapfenberg,4–2,Swans Gmunden,,
2018–19,ece Bulls Kapfenberg,3–0,Swans Gmunden,,
