Season,Host City,Champion,Runner-up,Score,MVP
2002–03,Barcelona,Žalgiris,Maccabi Tel Aviv,87–80,Rolandas Alijevas
2003–04,Tel Aviv,CSKA Moscow,Montepaschi Siena,90–62,Vasiliy Zavoruev
2004–05,Moscow,CSKA Moscow,Žalgiris,97–64,Vasiliy Zavoruev
2005–06,Prague,CSKA Moscow,Žalgiris,59–55,Ivan Nelyubov
2006–07,Athens,Žalgiris,FMP,78–74,Donatas Motiejūnas
2007–08,Madrid,FMP,Barcelona,80–70,Dejan Musli
2008–09,Berlin,FMP,Lietuvos rytas,123–110,Dejan Musli
2009–10,Paris,INSEP,FMP,83–73,Livio Jean-Charles
2010–11,Barcelona,Zagreb,Žalgiris,76–65,Dario Šarić
2011–12,Istanbul,Lietuvos rytas,Fenerbahçe,88–70,Metecan Birsen
2012–13,London,FIATC Joventut,Barcelona,82–59,Alberto Abalde
2013–14,Milan,Crvena zvezda Telekom,Real Madrid,55–42,Vojislav Stojanović
2014–15,Madrid,Real Madrid,Crvena zvezda Telekom,73–70,Luka Dončić
2015–16,Berlin,Barcelona Lassa,Crvena zvezda Telekom,90–82,Boriša Simanić
2016–17,Istanbul,Centre Fédéral,Mega Bemax,65–58,Ivan Février
2017–18,Belgrade,Lietuvos rytas,Stella Azzurra,76–71,Deividas Sirvydis
2018–19,Vitoria-Gasteiz,Real Madrid,Mega Bemax,95–76,Mario Nakić
2019–20,Cancelled due to the COVID-19 pandemic in Europe,Cancelled due to the COVID-19 pandemic in Europe,Cancelled due to the COVID-19 pandemic in Europe,Cancelled due to the COVID-19 pandemic in Europe,Cancelled due to the COVID-19 pandemic in Europe
2020–21,Valencia,Real Madrid,Barcelona,81–78,Eli Ndiaye
2021–22,Belgrade,Mega Mozzart,Next Generation Select Team,82–61,Nikola Đurišić
2022–23,Kaunas,Real Madrid,Next Generation Select Team,71–60,Jan Vide
