Season,Champion,Runner-up,Final result,Season MVP,Coach of the Year
2009,Flamengo,Brasília,3–2 (series),Marcelinho Machado (FLA),Paulo Sampaio (FLA)
2009–10,Brasília,Flamengo,3–2 (series),Marcelinho Machado (FLA),Lula Ferreira (BRA)
2010–11,Brasília,Franca,3–1 (series),Guilherme Giovannoni (BRA),Hélio Rubens (FRA)
2011–12,Brasília,São José,78–62,Murilo Becker (SJO),Régis Marrelli (SJO)
2012–13,Flamengo,Uberlândia,77–70,Marquinhos (FLA),Lula Ferreira (FRA)
2013–14,Flamengo,Paulistano,78–73,David Jackson (LIM),Gustavo de Conti (PAU)
2014–15,Flamengo,Bauru,2–0 (series),Alex Garcia (BAU),Dedé Barbosa (LIM)
2015–16,Flamengo,Bauru,3–2 (series),Marquinhos (FLA),José Alves Neto (FLA)
2016–17,Bauru,Paulistano,3–2 (series),Desmond Holloway (PIN),Gustavo de Conti (PAU)
2017–18,Paulistano,Mogi das Cruzes,3–1 (series),Marquinhos (FLA),Gustavo de Conti (PAU)
2018–19,Flamengo,Franca,3–2 (series),J.P. Batista (MOG),Léo Figueiró (BOT)
2019–20,Canceled after the regular season due to the COVID-19 pandemic in Brazil[2],Canceled after the regular season due to the COVID-19 pandemic in Brazil[2],Canceled after the regular season due to the COVID-19 pandemic in Brazil[2],Canceled after the regular season due to the COVID-19 pandemic in Brazil[2],Canceled after the regular season due to the COVID-19 pandemic in Brazil[2]
2020–21,Flamengo,São Paulo,3–0 (series),Lucas Mariano (SPA),Gustavo de Conti (FLA)
2021–22,Franca,Flamengo,3–1 (series),Bruno Caboclo (SPA),Helinho Garcia (FRA)
