Club,Winners,Winning years
Academic Sofia,26,"1957, 1958, 1959, 1963, 1968, 1969, 1970, 1971, 1972, 1973, 1975, 1976, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014–15, 2015–16, 2016–17"
Levski Sofia,16,"1942, 1945, 1946, 1947, 1978, 1979, 1981, 1982, 1986, 1993, 1994, 2000, 2001, 2014, 2017–18, 2020-21"
CSKA Sofia,12,"1949, 1950, 1951, 1965, 1967, 1977, 1980, 1983, 1984, 1990, 1991, 1992"
Lokomotiv Sofia,6,"1943, 1948, 1955, 1961, 1964, 1966"
Balkan Botevgrad,6,"1974, 1987, 1988, 1989, 2018–19, 2021–22"
Spartak Sofia,4,"1954, 1956, 1960, 1962"
Slavia Sofia,3,"1952, 1953, 1997"
Cherno More Port Varna,3,"1985, 1998, 1999"
Spartak Pleven,2,"1995, 1996"
Yambol,1,2002
