Season,Champion,Runner-up
2011–12,London Lightning,Halifax Rainmen
2012–13,London Lightning,Summerside Storm
2013–14,Windsor Express,Island Storm
2014–15,Windsor Express,Halifax Rainmen
2015–16,Halifax Hurricanes,London Lightning
2016–17,London Lightning,Halifax Hurricanes
2017–18,London Lightning,Halifax Hurricanes
2018–19,Moncton Magic,St. John's Edge
2019–20,Not awarded due to COVID-19 pandemic in Canada,Not awarded due to COVID-19 pandemic in Canada
2020–21,Not awarded due to COVID-19 pandemic in Canada,Not awarded due to COVID-19 pandemic in Canada
2022,London Lightning,KW Titans
2023,London Lightning,Windsor Express
