Team,Winners Amount:,Years Won,,
AEL,13,"1974, 1978, 1980, 1982, 1983, 1985, 1987, 1988, 2003, 2004, 2005, 2006, 2007",,
APOEL,11,"1976, 1979, 1981, 1995, 1996, 1998, 1999, 2002, 2009, 2010, 2014",,
Keravnos,8,"1989, 1997, 2000, 2001, 2008, 2017, 2019, 2022",,
Achilleas,5,"1975, 1977, 1984, 1986, 1993",,
AEK,5,"2013, 2015, 2016, 2018, 2021",,
Pezoporikos,4,"1973, 1991, 1992, 1994",,
PAEEK,3,"1970, 1971, 1972",,
ETHA,2,"2011, 2012",,
ENAD,2,"1969, 1990",,
Digenis,2,"1967, 1968",,
,,,,
,,,,
,,,,
,,,,
