Champions 1995-2019,Champions 1995-2019,Champions 1995-2019,Champions 1995-2019,Champions 1995-2019,Champions 1995-2019,Finals,Finals
Season,Teams,Gold,Silver,Bronze,Relegation,Score,Finals MVP
2021-22,10.0,Bakken Bears (20),Svendborg Rabbits,Horsens IC,,4-0,Marvelle Harris[1]
2020-21,10.0,Bakken Bears (19),Horsens IC,Svendborg Rabbits,,4-2,Michel Diouf[2]
2019-20,10.0,Bakken Bears (18),Randers Cimbria,Horsens IC,,,no finals due to COVID-19 pandemic[3]
2018-19,9.0,Bakken Bears (17),Horsens IC,Team FOG Næstved,,4-0,Tobin Carberry
2017-18,8.0,Bakken Bears (16),Horsens IC,Randers Cimbria,,4-0,Jeffrey Crockett
2016-17,8.0,Bakken Bears (15),Horsens IC,Svendborg Rabbits,SISU BK (withdrew),4-1,Devaughn Akoon-Purcell
2015-16,8.0,Horsens IC (6),Bakken Bears,Team FOG Næstved,,4-3,Nimrod Hilliard
2014-15,10.0,Horsens IC (5),Bakken Bears,Team FOG Næstved,"Aalborg Vikings, Værløse Basket (withdrew), Copenhagen Wolfpack (withdrew)",4-2,Brian Fitzpatrick
2013-14,10.0,Bakken Bears (15),Randers Cimbria,Horsens IC,,4-0,Kenny Barker
2012-13,10.0,Bakken Bears (14),Svendborg Rabbits,Horsens IC,,4-3,Chris Christoffersen
2011-12,10.0,Bakken Bears (13),Svendborg Rabbits,Team FOG Næstved,,4-2,
2010-11,10.0,Bakken Bears (12),Svendborg Rabbits,Horsens IC,,4-0,
2009-10,10.0,Svendborg Rabbits,Bakken Bears,Hørsholm 79ers,,4-1,
2008-09,10.0,Bakken Bears (11),Svendborg Rabbits,Randers Cimbria,Roskilde Basketball Klub,4-3,
2007-08,9.0,Bakken Bears (10),Svendborg Rabbits,BK Amager,,4-0,
2006-07,12.0,Bakken Bears (9),Svendborg Rabbits,Horsens IC,"AAB Basket, Horsens Basketball Club, Team Sjælland",3-0,
2005-06,11.0,Horsens IC (4),Bakken Bears,BK Amager,Herlev,3-1,
2004-05,10.0,Bakken Bears (8),SISU BK,Svendborg Rabbits,Team Sjælland,3-2,
2003-04,10.0,Bakken Bears (7),Horsens IC,Team Sjælland,BK Skjold/Stevnsgade Basket,3-1,
2002-03,10.0,BF Copenhagen (2),Bakken Bears,SISU BK,BF Copenhagen,2-0,
2001-02,,Værløse/Farum (3),Aabyhøj IF,Bakken Bears,,2-0,
2000-01,,Bakken Bears (6),Værløse/Farum,BK Skjold/Stevnsgade Basket,,2-1,
1999-00,,Bakken Bears (5),Horsens IC,SISU BK,,,
1998-99,,Bakken Bears (4),SISU BK,Horsens IC,,,
1997-98,,Horsens IC (3),Bakken Bears,SISU BK,,,
1996-97,,Bakken Bears (3),Hørsholm,Stevnsgade,,,
1995-96,,Værløse/Farum (2),Stevnsgade,Horsens IC,,,
