Season,Champion,Runner Up,1st leg,2nd leg,Host City
2004–05,Žalgiris Kaunas,Lietuvos rytas,64–60,–,Vilnius
2005–06,Lietuvos rytas,Žalgiris Kaunas,86–74,–,Tallinn
2006–07,Lietuvos rytas,Žalgiris Kaunas,81–77,–,Rīga
2007–08,Žalgiris Kaunas,Lietuvos rytas,86–84,–,Šiauliai
2008–09,Lietuvos rytas,Žalgiris Kaunas,97–74,–,Tartu
2009–10,Žalgiris Kaunas,Lietuvos rytas,73–66,–,Vilnius
2010–11,Žalgiris Kaunas,VEF Rīga,75–67,–,Kaunas
2011–12,Žalgiris Kaunas,Lietuvos rytas,74–70,–,Šiauliai
2012–13,Ventspils,Prienai,91–69,70–73,Prienai & Ventspils
2013–14,Šiauliai,Prienai,62–57,78–66,Prienai & Šiauliai
2014–15,Šiauliai,Ventspils,68–70,88–80,Ventspils & Šiauliai
2015–16,Šiauliai,Tartu Ülikool/Rock,74–81,102–76,Tartu & Šiauliai
2016–17,Vytautas,Pieno žvaigždės,85–88,89–74,Prienai & Pasvalys
2017–18,Pieno žvaigždės,Jūrmala,98–80,76–68,Jūrmala & Pasvalys
