Rank,Club,Titles,Runner-up,Winning Years
1,Real Madrid,10,9,"1963–64, 1964–65, 1966–67, 1967–68, 1973–74, 1977–78, 1979–80, 1994–95, 2014–15, 2017–18"
2,CSKA Moscow,8,6,"1960–61, 1962–63, 1968–69, 1970–71, 2005–06, 2007–08, 2015–16, 2018–19"
3,Maccabi Tel Aviv,6,9,"1976–77, 1980–81, 2000–01, 2003–04, 2004–05, 2013–14"
4,Panathinaikos,6,1,"1995–96, 1999–00, 2001–02, 2006–07, 2008–09, 2010–11"
5,Varese,5,5,"1969–70, 1971–72, 1972–73, 1974–75, 1975–76"
6,Olympiacos,3,5,"1996–97, 2011–12, 2012–13"
7,Olimpia Milano,3,2,"1965–66, 1986–87, 1987–88"
8,Rīgas ASK,3,1,"1958, 1958–59, 1959–60"
–,Split,3,1,"1988–89, 1989–90, 1990–91"
10,Barcelona,2,6,"2002–03, 2009–10"
11,Virtus Bologna,2,3,"1997–98, 2000–01"
12,Anadolu Efes,2,1,"2020–21, 2021–22"
13,Cantù,2,–,"1981–82, 1982–83"
–,Cibona,2,–,"1984–85, 1985–86"
15,Fenerbahçe,1,2,2016–17
16,Dinamo Tbilisi,1,1,1961–62
–,Joventut Badalona,1,1,1993–94
–,Žalgiris,1,1,1998–99
19,Bosna,1,–,1978–79
–,Virtus Roma,1,–,1983–84
–,Partizan,1,–,1991–92
–,Limoges CSP,1,–,1992–93
23,Academic,–,2,–
–,Brno,–,2,–
–,Treviso,–,2,–
–,Baskonia,–,2,–
27,USK Praha,–,1,–
–,AEK,–,1,–
–,Fortitudo Bologna,–,1,–
