Club,Champions Amount,Winning years
ASVEL,21,"1949–50, 1950–51, 1951–52, 1954–55, 1955–56, 1956–57, 1963–64, 1965–66, 1967–68, 1968–69, 1970–71, 1971–72, 1974–75, 1976–77, 1980–81, 2001–02, 2008–09, 2015–16, 2018–19, 2020–21, 2021–22"
Limoges CSP,11,"1982–83, 1983–84, 1984–85, 1987–88, 1988–89, 1989–90, 1992–93, 1993–94, 1999–00, 2013–14, 2014–15"
Pau-Lacq-Orthez,9,"1985–86, 1986–87, 1991–92, 1995–96, 1997–98, 1998–99, 2000–01, 2002–03, 2003–04"
FAM,7,"1923–24, 1924–25, 1925–26, 1927–28, 1928–29, 1929–30, 1930–31"
Le Mans Sarthe,5,"1977–78, 1978–79, 1981–82, 2005–06, 2017–18"
Racing Paris,4,"1950–51, 1952–53, 1953–54, 1996–97"
Alsace de Bagnolet,3,"1960–61, 1961–62, 1966–67"
Olympique Antibes,3,"1969–70, 1990–91, 1994–95"
Stade Français,2,"1920–21, 1926–27"
CAUFA Reims,2,"1931–32, 1932–33"
CAM,2,"1934–35, 1936–37"
SCPO,2,"1935–36, 1937–38"
Métro,2,"1938–39, 1941–42"
Grenoble,2,"1942–43, 1943–44"
Étoile Charleville-Mézières,2,"1957–58, 1959–60"
PUC,2,"1946–47, 1962–63"
Berck,2,"1972–73, 1973–74"
ASPO Tours,2,"1975–76, 1979–80"
Chorale Roanne,2,"1958–59, 2006–07"
SLUC Nancy,2,"2007–08, 2010–11"
Élan Chalon,2,"2011–12, 2016–17"
ICAM Lille,1,1921–22
École Normale Arras,1,1922–23
Olympique Lillois,1,1933–34
Championnet Sports,1,1944–45
ESSMG Lyon,1,1945–46
Marseille,1,1947–48
Denain Voltaire,1,1964–65
SIG,1,2004–05
Cholet,1,2009–10
Nanterre 92,1,2012–13
