Year,Host city,Champion,Runner-up,Score,MVP
1993,Bayreuth,Bayer 04 Leverkusen,Brandt Hagen,81–60,Not awarded
1994,Bamberg,Brandt Hagen,ratiopharm Ulm,86–72,Not awarded
1995,Würzburg,Bayer 04 Leverkusen,ratiopharm Ulm,77–76,Not awarded
1996,Berlin,ratiopharm Ulm,Bayer 04 Leverkusen,80–79,Not awarded
1997,Gießen,Alba Berlin,Gießen 46ers,82–73,Not awarded
1998,Frankfurt,TBB Trier,Dragons Rhöndorf,97–88,Not awarded
1999,Frankfurt,Alba Berlin,Gießen 46ers,69–48,Not awarded
2000,Frankfurt,Skyliners Frankfurt,Alba Berlin,76–68,Not awarded
2001,Frankfurt,TBB Trier,Hagen,96–83,Not awarded
2002,Berlin,Alba Berlin,EWE Baskets Oldenburg,105–55,Not awarded
2003,Berlin,Alba Berlin,RheinEnergie Köln,82–80,Not awarded
2004,Frankfurt,RheinEnergie Köln,Opel Skyliners,80–71,Not awarded
2005,Frankfurt,RheinEnergie Köln,Telekom Baskets Bonn,85–75,Not awarded
2006,Bamberg,Alba Berlin,GHP Bamberg,85–73,Not awarded
2007,Hamburg,RheinEnergie Köln,Artland Dragons,60–58,Not awarded
2008,Hamburg,Artland Dragons,EnBW Ludwigsburg,74–60,Not awarded
2009,Hamburg,Alba Berlin,Telekom Baskets Bonn,69–44,Not awarded
2010,Frankfurt,Brose Baskets,Deutsche Bank Skyliners,76–75,Not awarded
2011,Bamberg,Brose Baskets,Phantoms Braunschweig,69–66,Not awarded
2012,Bonn,Brose Baskets,Telekom Baskets Bonn,82–73,Not awarded
2013,Berlin,Alba Berlin,ratiopharm Ulm,85–67,Not awarded
2014,Ulm,Alba Berlin,ratiopharm Ulm,86–80,Not awarded
2015,Oldenburg,EWE Baskets Oldenburg,Brose Baskets,72–70,Not awarded
2016,Munich,Alba Berlin,Bayern Munich,67–65,Not awarded
2017,Berlin,Brose Bamberg,Bayern Munich,74–71,Not awarded
2018,Ulm,Bayern Munich,Alba Berlin,80–75,Not awarded
2019,Bamberg,Brose Bamberg,Alba Berlin,83–82,Not awarded
2021,Munich,Bayern Munich,Alba Berlin,85–79,Vladimir Lučić[3]
2022,Berlin,Alba Berlin,Crailsheim Merlins,86–76,Maodo Lô[4]
2023,Oldenburg,Bayern Munich,Baskets Oldenburg,90–78,Nick Weiler-Babb[5]
