Season,Champion,Vice champion
2007–08,ETB Schwarz-Weiß,Kirchheim Knights
2008–09,Crailsheim Merlins,Herzöge Wolfenbüttel
2009–10,Dragons Rhöndorf,Hertener Löwen
2010–11,Ehingen Urspring,BG Leitershofen/Stadtbergen
2011–12,Oettinger Rockets Gotha,Rasta Vechta
2012–13,Bayer Giants Leverkusen,Schwelmer Baskets
2013–14,Oldenburger TB,Baunach Young Pikes
2014–15,Oldenburger TB,Rist Wedel
2015–16,Ehingen Urspring,Skyliners Juniors
2016–17,Weißenhorn Youngstars,PS Karlsruhe Lions
2017–18,Elchingen,Rostock Seawolves
2018–19,Bayer Giants Leverkusen,WWU Baskets Muenster
2019–20,Season abandoned due to COVID-19 pandemic,Season abandoned due to COVID-19 pandemic
2020–21,Itzehoe Eagles / VfL SparkassenStars Bochum,Itzehoe Eagles / VfL SparkassenStars Bochum
2021–22,Dresden Titans,ART Giants Düsseldorf
