Club,Champions,Winning years
Bp. Honvéd,33,"1952, 1953, 1954, 1955, 1957, 1957–58, 1958–59, 1959–60, 1960–61, 1961–62, 1962–63, 1964, 1965, 1966, 1967,1968, 1969, 1971, 1974, 1976, 1977, 1978, 1979, 1980–81, 1981–82, 1982–83, 1983–84, 1984–85, 1985–86, 1992–93,1993–94, 1994–95, 1996–97"
BSZKRT Előre,9,"1934, 1936–37, 1937–38, 1938–39, 1939–40, 1940–41, 1943–44, 1945, 1948–49"
Szolnoki Olajbányász,8,"1990–91, 2006–07, 2010–11, 2011–12, 2013–14, 2014–15, 2015–16, 2017–18"
MAFC,7,"1935–36, 1944, 1949–50, 1951, 1956, 1970, 1975"
Alba Fehérvár,5,"1997–98, 1998–99, 1999–2000, 2012–13, 2016–17"
Atomerőmű,4,"2001–02, 2004–05, 2005–06, 2008–09"
ZTE,4,"1987–88, 1989–90, 1991–92, 2009–10"
Falco,4,"2007–08, 2018–19, 2020–21, 2021–22"
Csepel,3,"1972, 1973, 1988–89"
Körmend,3,"1986–87, 1995–96, 2002–03"
Kaposvár,2,"2000–01, 2003–04"
BEAC,2,"1941–42, 1942–43"
MÁVAG,2,"1947–48, 1950"
Közgazdasági Egyetem,1,1933
TFSE,1,1934–35
Budapesti Kinizsi TE,1,1946
Budapesti Postás,1,1946–47
