Edition,Year,Hosts,Champions,Runners-up,Third place,Fourth place,Result(s) / Note(s),Number of teams
–,1965[a]Details,São Paulo,Corinthians,Real Madrid,,,118–109Unofficial test tournament,2.0
1,1966Details,Madrid,Ignis Varese,Corinthians,Real Madrid,Chicago Jamaco Saints,Final: 66–593rd place game: 112–96,4.0
2,1967Details,Italy (3 cities),Akron Goodyear Wingfoots,Ignis Varese,Simmenthal Milano,Corinthians,Final: 78–723rd place game: 90–89,5.0
3,1968Details,Philadelphia,Akron Goodyear Wingfoots,Real Madrid,Simmenthal Milano,Botafogo,Final: 105–733rd place game: 82–54,4.0
4,1969Details,Macon,Akron Goodyear Wingfoots,Spartak ZJŠ Brno,Sírio,Real Madrid,Final: 84–713rd place game: 72–60,5.0
5,1970Details,Varese,Ignis Varese,Real Madrid,Corinthians,Slavia VŠ Praha,Five team league stage,5.0
6,1972[b]Details,São Paulo,NABL All-Stars,Soviet Union,Brazil,Poland,Four team league stage,5.0
7,1973Details,São Paulo,Ignis Varese,Sírio,Vaqueros de Bayamón,Jugoplastika,Five team league stage,5.0
8,1974Details,Mexico City,Maryland Terrapins,Ignis Varese,Vila Nova,Real Madrid,Six team league stage,6.0
9,1975Details,Italy (2 cities),Birra Forst Cantù,Amazonas Franca,Real Madrid,Penn Quakers,Six team league stage,6.0
10,1976Details,Buenos Aires,Real Madrid,Mobilgirgi Varese,Obras Sanitarias,Amazonas Franca,Six team league stage,6.0
11,1977Details,Madrid,Real Madrid,Mobilgirgi Varese,Maccabi Elite Tel Aviv,Atlética Francana,Six team league stage,6.0
12,1978Details,Buenos Aires,Real Madrid,Obras Sanitarias,Sírio,Mobilgirgi Varese,Five team league stage,5.0
13,1979Details,São Paulo,Sírio,Bosna,Emerson Varese,Piratas de Quebradillas,Five team league stage,5.0
14,1980Details,Sarajevo,Maccabi Elite Tel Aviv,Atlética Francana,Bosna,Real Madrid,Five team league stage,5.0
15,1981Details,São Paulo,Real Madrid,Sírio,Clemson Tigers,Atlética Francana,Final: 109–833rd place game: 79–73,10.0
16,1982Details,Netherlands (3 cities),Ford Cantù,Nashua EBBC,Maccabi Elite Tel Aviv,Air Force Falcons,Six team league stage,6.0
17,1983Details,Buenos Aires,Obras Sanitarias,Jollycolombani Cantù,Peñarol,Monte Líbano,Six team league stage,6.0
18,1984Details,São Paulo,Banco di Roma,Obras Sanitarias,Sírio,FC Barcelona,Five team league stage,5.0
19,1985Details,Spain (2 cities),FC Barcelona,Monte Líbano,Cibona,San Andrés,Final: 93–893rd place game: 109–82,10.0
20,1986Details,Argentina (2 cities),Žalgiris,Ferro Carril Oeste,Cibona,Corinthians,Final: 84–783rd place game: 119–96,8.0
21,1987Details,Milan,Tracer Milano,FC Barcelona,Cibona,Maccabi Elite Tel Aviv,Final: 100–843rd place game: 106–96,8.0
,1988–1995,,Competition inactive,Competition inactive,Competition inactive,Competition inactive,Competition inactive,
22,1996 Details,Unofficial event,Panathinaikos,Olimpia,,,2–1 83–89 (away) / 83–78 (home) / 101–76 (home),2.0
,1997–2012,,Competition inactive,Competition inactive,Competition inactive,Competition inactive,Competition inactive,
23,2013Details,Home and away,Olympiacos,Pinheiros Sky,,,167–139 81–70 / 86–69,2.0
24,2014Details,Home and away,Flamengo,Maccabi Electra Tel Aviv,,,156–146 66–69 / 90–77,2.0
25,2015Details,Home and away,Real Madrid,Bauru,,,181–170 90–91 / 91–79,2.0
26,2016Details,Frankfurt,Guaros de Lara,Fraport Skyliners,,,74–69,2.0
27,2017Details,Tenerife,Iberostar Tenerife,Guaros de Lara,,,76–71,2.0
28,2019Details,Rio de Janeiro,AEK,Flamengo,San Lorenzo,Austin Spurs,Final: 86–70 3rd place game: 77–59,4.0
29,2020Details,Tenerife,Iberostar Tenerife,Virtus Segafredo Bologna,San Lorenzo,Rio Grande Valley Vipers,Final: 80–72 3rd place game: 96–90,4.0
30,2021Details,Buenos Aires,San Pablo Burgos,Quimsa,,,Final: 82–73,2.0
31,2022Details,Cairo,Flamengo,San Pablo Burgos,Lakeland Magic,Zamalek,Final: 75–623rd place game: 113–78,4.0
32,2023 (I)Details,Tenerife,Lenovo Tenerife,São Paulo,Rio Grande Valley Vipers,US Monastir,Final: 89–673rd place game: 107–84,4.0
33,2023 (II)Details,Singapore,To be determined,To be determined,To be determined,To be determined,To be determined,6.0
34,2024,Singapore,To be determined,To be determined,To be determined,To be determined,To be determined,6.0
35,2025,Singapore,To be determined,To be determined,To be determined,To be determined,To be determined,6.0
