Season,Champions,Score,Runners-up,Venue,Location,MVP
Coppa Italiana di Pallacanestro,Coppa Italiana di Pallacanestro,Coppa Italiana di Pallacanestro,Coppa Italiana di Pallacanestro,Coppa Italiana di Pallacanestro,Coppa Italiana di Pallacanestro,Coppa Italiana di Pallacanestro
1967–68,Ignis Sud Napoli,93–68,Cassera Bologna,PalaDozza,Bologna,
1968–69,Ignis Varese,73–72,Fides Napoli,Palazzo dello Sport,Rome,
1969–70,Ignis Varese,74–66,Simmenthal Milano,Palazzo dello Sport,Rome,
1970–71,Ignis Varese,83–60,Fides Napoli,PalaBarsacchi,Viareggio,
1971–72,Simmenthal Milano,81–77,Ignis Varese,PalaRuffini,Turin,
1972–73,Ignis Varese,94–65,Saclà Asti,Pala E.I.B.,Brescia,
1973–74,Norda Bologna,90–74,Rino Snaidero Udine,PalaLaghetto,Vicenza,
1974–83,Not held,Not held,Not held,Not held,Not held,Not held
1983–84,Granarolo Bologna,80–78,Indesit Caserta,PalaDozza,Bologna,
1984–85,Scavolini Pesaro,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}186–184,Ciaocrem Varese,PalaIgnis & Palasport,Varese & Pesaro,
1985–86,Simac Milano,102–92,Scavolini Pesaro,PalaDozza,Bologna,
1986–87,Tracer Milano,95–93,Scavolini Pesaro,PalaDozza,Bologna,
1987–88,Snaidero Caserta,113–100,Divarese Varese,PalaDozza,Bologna,
1988–89,Knorr Bologna,96–93,Snaidero Caserta,PalaDozza,Bologna,
1989–90,Knorr Bologna,94–83,il Messaggero Roma,PalaGalassi,Forlì,
1990–91,Glaxo Verona,97–85,Philips Milano,PalaDozza,Bologna,
1991–92,Scavolini Pesaro,95–92,Benetton Treviso,PalaGalassi,Forlì,
1992–93,Benetton Treviso,75–73,Knorr Bologna,PalaGalassi,Forlì,
1993–94,Benetton Treviso,78–61,Glaxo Verona,PalaMalaguti,Casalecchio di Reno,Davide Bonora
1994–95,Benetton Treviso,81–77,illycaffè Trieste,PalaMalaguti,Casalecchio di Reno,Orlando Woolridge
1995–96,Stefanel Milano,90–72,Riello Mash Verona,Fila Forum,Assago,Rolando Blackman
1996–97,Kinder Bologna,75–67,Polti Cantù,PalaMalaguti,Casalecchio di Reno,Bane Prelević
1997–98,Teamsystem Bologna,73–55,Benetton Treviso,PalaMalaguti,Casalecchio di Reno,Carlton Myers
1998–99,Kinder Bologna,65–63,Varese Roosters,PalaMalaguti,Casalecchio di Reno,Alessando Frosini
1999–00,Benetton Treviso,78–59,Kinder Bologna,PalaPentimele,Reggio Calabria,Denis Marconato
2000–01,Kinder Bologna,83–58,Scavolini Pesaro,PalaGalassi,Forlì,Rashard Griffith
2001–02,Kinder Bologna,79–77,Montepaschi Siena,PalaGalassi,Forlì,Manu Ginóbili
2002–03,Benetton Treviso,86–77,Oregon Scientific Cantù,PalaGalassi,Forlì,Tyus Edney
2003–04,Benetton Treviso,85–76,Scavolini Pesaro,PalaGalassi,Forlì,Jorge Garbajosa
2004–05,Benetton Treviso,74–64,Bipop Carire Reggio Emilia,PalaGalassi,Forlì,Massimo Bulleri
2005–06,Carpisa Napoli,85–83,Lottomatica Roma,PalaGalassi,Forlì,David Hawkins
2006–07,Benetton Treviso,67–65,VidiVici Bologna,Futurshow Station,Casalecchio di Reno,Spencer Nelson
2007–08,A.IR. Avellino,73–67,La Fortezza Bologna,Futurshow Station,Casalecchio di Reno,Devin Smith
2008–09,Montepaschi Siena,70–69,La Fortezza Bologna,Futurshow Station,Casalecchio di Reno,Shaun Stonerook
2009–10,Montepaschi Siena,83–75,Canadian Solar Bologna,Palasport Del Mauro,Avellino,Shaun Stonerook (2)
2010–11,Montepaschi Siena,79–72,Bennet Cantù,Palasport Olimpico,Turin,Kšyštof Lavrinovič
2011–12,Montepaschi Siena (revoked),88–71,Bennet Cantù,Palasport Olimpico,Turin,David Andersen
2012–13,Montepaschi Siena (revoked),77–74,Cimberio Varese,Mediolanum Forum,Assago,Daniel Hackett
2013–14,Banco di Sardegna Sassari,80–73,Montepaschi Siena,Mediolanum Forum,Assago,Travis Diener
2014–15,Banco di Sardegna Sassari,101–94,EA7 Emporio Armani Milano,PalaDesio,Desio,David Logan
2015–16,EA7 Emporio Armani Milano,82–76,Sidigas Avellino,Mediolanum Forum,Assago,Rakim Sanders
2016–17,EA7 Emporio Armani Milano,84–74,Banco di Sardegna Sassari,Centro Fieristico Rimini,Rimini,Ricky Hickman
2017–18,Fiat Torino,69–67,Germani Basket Brescia,Nelson Mandela Forum,Florence,Vander Blue
2018–19,Vanoli Cremona,84–74,New Basket Brindisi,Nelson Mandela Forum,Florence,Drew Crawford
2019–20,Umana Reyer Venezia,73–67,Happy Casa Brindisi,Adriatic Arena,Pesaro,Austin Daye
2020–21,AX Armani Exchange Milano,87–59,Carpegna Prosciutto Pesaro,Mediolanum Forum,Assago (Milan),Luigi Datome
2021–22,AX Armani Exchange Milano,78–61,Bertram Tortona,Vitrifrigo Arena,Pesaro,Malcolm Delaney
2022–23,Germani Brescia,84–76,Virtus Segafredo Bologna,Pala Alpitour,Turin,Amedeo Della Valle
