Club,Winners,Championship seasons[43]
Olimpia Milano,29,"1935–36, 1936–37, 1937–38, 1938–39, 1949–50, 1950–51, 1951–52, 1952–53, 1953–54, 1956–57, 1957–58, 1958–59, 1959–60, 1961–62, 1962–63, 1964–65, 1965–66, 1966–67, 1971–72, 1981–82, 1984–85, 1985–86, 1986–87, 1988–89, 1995–96, 2013–14, 2015–16, 2017–18, 2021–22"
Virtus Bologna,16,"1945–46, 1946–47, 1947–48, 1948–49, 1954–55, 1955–56, 1975–76, 1978–79, 1979–80, 1983–84, 1992–93, 1993–94, 1994–95, 1997–98, 2000–01, 2020–21"
Varese,10,"1960–61, 1963–64, 1968–69, 1969–70, 1970–71, 1972–73, 1973–74, 1976–77, 1977–78, 1998–99"
Mens Sana 1871,6,"2003–04, 2006–07, 2007–08, 2008–09, 2009–10, 2010–11"
Assi Milano,6,"1921, 1922, 1924, 1925, 1926, 1927"
Trieste(formerly Ginnastica Triestina),5,"1930, 1932, 1934, 1939–40, 1940–41"
Treviso,5,"1991–92, 1996–97, 2001–02, 2002–03, 2005–06"
Ginnastica Roma,4,"1928, 1931, 1933, 1935"
Reyer Venezia,4,"1941–42, 1942–43, 2016–17, 2018–19"
Cantù,3,"1967–68, 1974–75, 1980–81"
Victoria Libertas,2,"1987–88, 1989–90"
Fortitudo Bologna,2,"1999–00, 2004–05"
SEF Costanza Milano,1,1920
Internazionale Milano,1,1923
Virtus Roma,1,1982–83
JuveCaserta,1,1990–91
Dinamo Sassari,1,2014–15
