Season,Champions,Other promoted team
2001–02,Pastificio di Nola Napoli,–
2002–03,Sanic Teramo,Pallacanestro Messina
2003–04,Bipop Reggio Emilia,Sicc Cucine Jesi
2004–05,Upea Capo d'Orlando,Caffè Maxim Bologna
2005–06,Eurorida Scafati,Premiata Montegranaro
2006–07,Sebastiani Rieti,Scavolini Pesaro
2007–08,Carife Ferrara,Pepsi Caserta
2008–09,Pallacanestro Varese,Vanoli Soresina
2009–10,Enel Brindisi,Dinamo Sassari
2010–11,A.S. Junior Pallacanestro Casale,Reyer Venezia
2011–12,Trenkwalder Reggio Emilia,Enel Brindisi
2012–13,Pistoia Basket 2000,–
2013–14,Aquila Basket Trento,–
2014–15,Manital Torino,–
2015–16,Centrale del Latte Brescia,–
2016–17,Segafredo Virtus Bologna,–
2017–18,Alma Pallacanestro Trieste,–
2018–19,Lavoropiù Fortitudo Bologna,Virtus Roma & Treviso
2019–20,Not assigned[a],–
2020–21,GeVi Napoli & Bertram Tortona,–
2021–22,Scaligera Verona,–
