Season,Champion,Runner-up
1992–1993,Al Riyadi,Kahraba Zouk
1993–1994,Sagesse,Kahraba Zouk
1994–1995,Al Riyadi,Kahraba Zouk
1995–1996,League Cancelled,League Cancelled
1996–1997,Al Riyadi,Tadamon Zouk
1997–1998,Sagesse,Tadamon Zouk
1998–1999,Sagesse,Tadamon Zouk
1999–2000,Sagesse,Antranik Beirut
2000–2001,Sagesse,Champville
2001–2002,Sagesse,Champville
2002–2003,Sagesse,Al Riyadi
2003–2004,Sagesse,Al Riyadi
2004–2005,Al Riyadi,Sagesse
2005–2006,Al Riyadi,Sagesse
2006–2007,Al Riyadi,Blue Stars
2007–2008,Al Riyadi,Mouttahed
2008–2009,Al Riyadi,Mouttahed
2009–2010,Al Riyadi,Champville
2010–2011,Al Riyadi,Champville
2011–2012,Champville,Anibal
2012–2013,League Cancelled,League Cancelled
2013–2014,Al Riyadi,Sagesse
2014–2015,Al Riyadi,Byblos Club
2015–2016,Al Riyadi,Sagesse
2016–2017,Al Riyadi,Homenetmen
2017–2018,Homenetmen,Al Riyadi
2018–2019,Al Riyadi,Beirut Club
2019–2020,League Cancelled,League Cancelled
2020–2021,Al Riyadi,Champville
2021–2022,Beirut Club,Al Riyadi
2022-2023,Al Riyadi,Dynamo Club
