Season,Champion,Runner-up,Third Place
2005–06,Akademija-MRU Vilnius[1],Nafta-Uni-Laivitė Klaipėda,Puntukas-Jarimpeksas Anykščiai[2]
2006–07,Nafta-Uni-Laivitė Klaipėda[3],Dextera Jonava,Meresta Pakruojis[4]
2007–08,Žalgiris-Arvydas Sabonis school Kaunas[5],Naglis-Adarkis Palanga,Dextera Jonava[6]
2008–09,Rūdupis Prienai[7],Meresta Pakruojis,Mažeikiai[8]
2009–10,Naglis-Adarkis Palanga[9],Malsta Jonava,Mažeikiai[10]
2010–11,Pieno žvaigždės Pasvalys[11],Mažeikiai,Nafta-Universitetas Klaipėda[12]
2011–12,"LKKA-Atletas Kaunas""[13]",Statyba Vilnius,Žalgiris-Arvydas Sabonis school Kaunas[14]
2012–13,Mažeikiai[15],Dzūkija Alytus,Žalgiris-2 Kaunas
2013–14,Mažeikiai[16],Trakai,Tiumenas-Ežerūnas Molėtai
2014–15,Nafta-Uni-Akvaservis Klaipėda[17],Ežerūnas-Karys Molėtai,Sūduva-Mantinga Marijampolė[18]
2015–16,Sūduva-Mantinga Marijampolė[19],Žalgiris-2 Kaunas,Palanga[20]
2016–17,Sūduva-Mantinga Marijampolė[21],Nafta-Uni-Akvaservis Klaipėda,Vytis Šakiai[22]
2017–18,Neptūnas-Akvaservis Klaipėda[23],Žalgiris-2 Kaunas,Vytis Šakiai[24]
2018–19,Sūduva-Mantinga Marijampolė[25],Vytis Šakiai,BC Telšiai[26]
2019–20,Sūduva-Mantinga Marijampolė[27],BC Telšiai,BC Šilutė
2020–21,Cbet Jonava[28],BC Telšiai,Vytis Šakiai[29]
2021–22,Gargždai[30],Sūduva-Mantinga Marijampolė,BC Telšiai[31]
2022–23,Žalgiris-2 Kaunas[32],M Basket Mažeikiai,BC Telšiai[33]
