Season,Winner,Runner-up,Score
2003–04,Contern,Sparta Bertrange,2–0
2004–05,Sparta Bertrange,Etzella,2–1
2005–06,Etzella,Sparta Bertrange,2–0
2006–07,Sparta Bertrange,T71 Dudelange,2–0
2007–08,Sparta Bertrange,Musel Pikes,2–0
2008–09,Contern,Musel Pikes,2–1
2009–10,T71 Dudelange,Sparta Bertrange,2–1
2010–11,T71 Dudelange,Etzella,2–1
2011–12,Sparta Bertrange,T71 Dudelange,2–0
2012–13,T71 Dudelange,Amicale,2–0
2013–14,T71 Dudelange,Amicale,2–1
2014–15,T71 Dudelange,Amicale,2–1
2015–16,Amicale,Musel Pikes,2–0
2016–17,Amicale,Musel Pikes,2–1
2017–18,Amicale,Etzella,3–0
2018–19,Etzella,T71 Dudelange,3–1
2019–20,None held due to COVID-19 pandemic,None held due to COVID-19 pandemic,None held due to COVID-19 pandemic
2020–21,T71 Dudelange,Esch,2–0
2021–22,Amicale Steesel,T71 Dudelange,3–2
