Team,Champion,Runner-up,Year(s) won
Rayos de Hermosillo,3,3,"2012, 2013, 2019"
Trigueros de Ciudad Obregón,3,2,"2002, 2003, 2007"
Tijuana Zonkeys,3,0,"2014, 2015, 2018"
Caballeros de Culiacán,2,3,"2001, 2010"
Mineros de Cananea,2,2,"2009, 2011"
Frayles de Guasave,2,1,"2004, 2006"
Fuerza Guinda de Nogales,1,1,2005
Halcones de Ciudad Obregón,1,1,2017
Lobos UAD de Mazatlán,1,0,2008
Venados de Mazatlán,1,0,2016
Astros de Jalisco,1,0,2022
Delfines de Mazatlán,0,1,
Soles de Hermosillo,0,1,
Vaqueros de Agua Prieta,0,1,
Ostioneros de Guaymas,0,1,
Garra Cañera de Navolato,0,1,
Mantarrayas de La Paz,0,1,
