Season,Champion,Score,Runner-up,Champion's Coach,Player of the season
2006–07,Budućnost,3–0,Lovćen,Dejan Radonjić,Vladimir Micov (Budućnost)
2007–08,Budućnost,3–0,Mogren,Dejan Radonjić,Nikola Otašević (Budućnost)
2008–09,Budućnost,3–0,Primorje,Dejan Radonjić,Nikola Otašević (Budućnost)
2009–10,Budućnost,3–0,Lovćen,Dejan Radonjić,Čedomir Vitkovac (Budućnost)
2010–11,Budućnost,3–0,Mornar,Dejan Radonjić,Vladimir Dragičević (Budućnost)
2011–12,Budućnost,3–0,Sutjeska,Dejan Radonjić,Bojan Dubljević (Budućnost)
2012–13,Budućnost,3–0,Sutjeska,Dejan Radonjić,Aleksa Popović (Budućnost)
2013–14,Budućnost,3–0,Zeta,Igor Jovović,Suad Šehović (Budućnost)
2014–15,Budućnost,3–1,Sutjeska,Igor Jovović,J. R. Reynolds (Budućnost)
2015–16,Budućnost,3–1,Mornar,Igor Đaletić,Julius Jenkins (Budućnost)
2016–17,Budućnost,3–2,Mornar,Igor Đaletić,Nemanja Gordić (Budućnost)
2017–18,Mornar,3–1,Budućnost,Mihailo Pavićević,Derek Needham (Mornar)
2018–19,Budućnost,3–2,Mornar,Petar Mijović,
2019–20,Canceled due to the coronavirus pandemic[5],Canceled due to the coronavirus pandemic[5],Canceled due to the coronavirus pandemic[5],Canceled due to the coronavirus pandemic[5],Canceled due to the coronavirus pandemic[5]
2020–21,Budućnost,3–0,Mornar,Dejan Milojević,
2021–22,Budućnost,3–2,Mornar,Aleksandar Džikić,
