Season,Champion,Result,Runner-up
2000–01,Oslo Kings,3–2,Kongsberg Penguins
2001–02,Asker Aliens,3–0,Kongsberg Penguins
2002–03,Asker Aliens,3–0,Harstad Vikings
2003–04,Bærum Basket,3–2,Harstad Vikings
2004–05,Asker Aliens,3–0,Harstad Vikings
2005–06,Harstad Vikings,3–2,Asker Aliens
2006–07,Ulriken Eagles,3–1,Harstad Aliens
2007–08,Asker Aliens,3–0,Harstad Vikings
2008–09,Ulriken Eagles,3–2,Tromsø Storm
2009–10,Asker Aliens,3–1,Tromsø Storm
2010–11,Bærum,3–2,Tromsø Storm
2011–12,Frøya,80–78,Asker Aliens
2012–13,Bærum,81–65,Tromsø Storm
2013–14,Gimle,102–68,Ammerud
2014–15,Asker Aliens,81–75,Bærum
2015–16,Centrum Tigers,85–71,Tromsø Storm
2016–17,Centrum Tigers,87–74,Gimle
2017–18,Kongsberg Miners,2–1,Asker Aliens
2018–19,Kongsberg Miners,2–1,Gimle
2019–20,Cancelled due to the COVID-19 pandemic,Cancelled due to the COVID-19 pandemic,Cancelled due to the COVID-19 pandemic
2020–21,Cancelled due to the COVID-19 pandemic,Cancelled due to the COVID-19 pandemic,Cancelled due to the COVID-19 pandemic
2021–22,Gimle,3–1,Bærum
