Season,Champion,Runner-up,Series,Details
1993,San Miguel Beermen,Swift Mighty Meaties,4–1,tournament details
1994,Alaska Milkmen,Swift Mighty Meaties,4–2,tournament details
1995,Alaska Milkmen,San Miguel Beermen,4–3,tournament details
1996,Alaska Milkmen,Ginebra San Miguel,4–1,tournament details
1997,Alaska Milkmen,Purefoods Corned Beef Cowboys,4–1,tournament details
1998,Formula Shell Super Unleaded,Mobiline Phone Pals,4–3,tournament details
1999,San Miguel Beermen,Alaska Milkmen,4–2,tournament details
2000,San Miguel Beermen,Purefoods TJ Hotdogs,4–1,tournament details
2001,Sta. Lucia Realtors,San Miguel Beermen,4–2,tournament details
2002,Purefoods TJ Hotdogs,Alaska Aces,4–3,tournament details
2003–2010: no tournament held,2003–2010: no tournament held,2003–2010: no tournament held,2003–2010: no tournament held,2003–2010: no tournament held
2010–11,Petron Blaze Boosters,Talk 'N Text Tropang Texters,4–3,tournament details
2011–12,Rain or Shine Elasto Painters,B-Meg Llamados,4–3,tournament details
2012–13,San Mig Coffee Mixers,Petron Blaze Boosters,4–3,tournament details
2013–14,San Mig Super Coffee Mixers,Rain or Shine Elasto Painters,3–2,tournament details
2014–15,San Miguel Beermen,Alaska Aces,4–0,tournament details
2015–16,Barangay Ginebra San Miguel,Meralco Bolts,4–2,tournament details
2016–17,Barangay Ginebra San Miguel,Meralco Bolts,4–3,tournament details
2017–18,Magnolia Hotshots,Alaska Aces,4–2,tournament details
2019,Barangay Ginebra San Miguel,Meralco Bolts,4–1,tournament details
2020,Cancelled due to COVID-19 pandemic,Cancelled due to COVID-19 pandemic,Cancelled due to COVID-19 pandemic,Cancelled due to COVID-19 pandemic
2021,Barangay Ginebra San Miguel,Meralco Bolts,4–2,tournament details
2022–23,TNT Tropang Giga,Barangay Ginebra San Miguel,4–2,tournament details
