Season,Champion,Runner-up,Score,Third place
1997–98,Śląsk Wrocław (13),Pruszków,4–3,Bobry Bytom
1998–99,Śląsk Wrocław (14),Włocławek,4–3,Bobry Bytom
1999–00,Śląsk Wrocław (15),Włocławek,4–1,Pruszków
2000–01,Śląsk Wrocław (16),Anwil Włocławek,4–1,Trefl Sopot
2001–02,Śląsk Wrocław (17),Trefl Sopot,4–1,Stal Ostrów Wielkopolski
2002–03,Włocławek (1),Trefl Sopot,4–2,Śląsk Wrocław
2003–04,Trefl Sopot (1),Śląsk Wrocław,4–1,Polonia Warszawa
2004–05,Trefl Sopot (2),Włocławek,4–2,Polonia Warszawa
2005–06,Trefl Sopot (3),Włocławek,4–1,Czarni Słupsk
2006–07,Trefl Sopot (4),Turów Zgorzelec,4–1,Śląsk Wrocław
2007–08,Trefl Sopot (5),Turów Zgorzelec,4–3,Śląsk Wrocław
2008–09,Trefl Sopot (6),Turów Zgorzelec,4–1,Włocławek
2009–10,Gdynia (7),Włocławek,4–0,Starogard Gdański
2010–11,Gdynia (8),Turów Zgorzelec,4–3,Czarni Słupsk
2011–12,Gdynia (9),Trefl Sopot,4–3,Zielona Góra
2012–13,Zielona Góra (1),Turów Zgorzelec,4–0,AZS Koszalin
2013–14,Turów Zgorzelec (1),Zielona Góra,4–2,Trefl Sopot
2014–15,Zielona Góra (2),Turów Zgorzelec,4–2,Czarni Słupsk
2015–16,Zielona Góra (3),Rosa Radom,4–0,Czarni Słupsk
2016–17,Zielona Góra (4),Toruń,4–1,Stal Ostrów Wielkopolski
2017–18,Włocławek (2),Stal Ostrów Wielkopolski,4–2,Toruń
2018–19,Włocławek (3),Toruń,4–3,Arka Gdynia
2019–20[a],Zielona Góra (5),Start Lublin,—,Włocławek
2020–21,Stal Ostrów Wielkopolski (1),Zastal Zielona Góra,4–2,WKS Śląsk Wrocław
2021–22,Śląsk Wrocław (18),Legia Warszawa,4–1,Anwil Włocławek
