Team,Won Amount:,Years won
Benfica,28,"1940, 1946, 1947, 1961, 1962, 1963, 1964, 1965, 1970, 1975, 1985, 1986, 1987, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 2009, 2010, 2012, 2013, 2014, 2015, 2017, 2022"
Porto,12,"1952, 1953, 1972, 1979, 1980, 1983, 1996, 1997, 1999, 2004, 2011, 2016"
Sporting CP,9,"1954, 1956, 1960, 1969, 1976, 1978, 1981, 1982, 2021"
Carnide,7,"1935, 1936, 1937, 1938, 1941, 1943, 1944"
Ovarense,5,"1988, 2000, 2006, 2007, 2008"
Académica de Coimbra,4,"1949, 1950, 1955, 1959"
Vasco da Gama,3,"1942, 1948, 1951"
Sporting de Lourenço Marques (MOZ),3,"1968, 1971, 1973"
Portugal Telecom,3,"2001, 2002, 2003"
Belenenses,2,"1939, 1945"
Barreirense,2,"1957, 1958"
Queluz,2,"1984, 2005"
Oliveirense,2,"2018, 2019"
Conimbricense,1,1933
União de Lisboa,1,1934
Benfica de Luanda (ANG),1,1967
CD Malhangalene (MOZ),1,1974
Ginásio,1,1977
Estrelas da Avenida,1,1998
