Year,Host,Champion,Score,Runner-UP
2003,Čair Sports CenterNiš,FMP,88–67,Hemofarm
2004,SPC VojvodinaNovi Sad,Crvena zvezda,91–89 (OT),Reflex
2005,Millennium CentarVršac,Reflex,88–84,Partizan Pivara MB
2006,Pionir HallBelgrade,Crvena zvezda,80–65,Hemofarm
2007,Jezero HallKragujevac,FMP,73–61,Partizan
2008,Čair Sports CenterNiš,Partizan Igokea,73–64,Hemofarm
2009,Čair Sports CenterNiš,Partizan Igokea,80–65,Crvena zvezda
2010,Čair Sports CenterNiš,Partizan,72–62,FMP
2011,Železnik HallBelgrade,Partizan,77–73,FMP
2012,Čair Sports CenterNiš,Partizan mt:s,64–51,Crvena zvezda
2013,Jezero HallKragujevac,Crvena zvezda,78–69,Partizan mt:s
2014,Pionir HallBelgrade,Crvena zvezda Telekom,81–80,Mega Vizura
2015,Čair Sports CenterNiš,Crvena zvezda Telekom,80–74,Mega Leks
2016,Čair Sports CenterNiš,Mega Leks,85–80,Partizan NIS
2017,Čair Sports CenterNiš,Crvena zvezda mts,74–64,Partizan NIS
2018,Čair Sports CenterNiš,Partizan NIS,81–75,Crvena zvezda mts
2019,Čair Sports CenterNiš,Partizan NIS,76–74,Crvena zvezda mts
2020,Čair Sports CenterNiš,Partizan NIS,85–84 (OT),Crvena zvezda mts
2021,SPC VojvodinaNovi Sad,Crvena zvezda mts,73–60,Mega Soccerbet
2022,Čair Sports CenterNiš,Crvena zvezda mts,85–68,Partizan NIS
2023,Čair Sports CenterNiš,Crvena Zvezda Meridianbet,96–79,Mega MIS
