Season,Champions,Runners-up,Finals score
1993,BK Davay Pezinok,VŠDS Žilina,
1993–94,BC Prievidza,Slovakofarma Pezinok,
1994–95,BC Prievidza,Slovakofarma Pezinok,
1995–96,Inter Bratislava,BC Prievidza,
1996–97,Slovakofarma Pezinok,Chemosvit Svit,
1997–98,Slovakofarma Pezinok,Chemosvit Svit,
1998–99,Slovakofarma Pezinok,Inter Bratislava,
1999–00,Slovakofarma Pezinok,Inter Bratislava,
2000–01,Slovakofarma Pezinok,Chemosvit Svit,
2001–02,Slovakofarma Pezinok,Chemosvit Svit,
2002–03,Chemosvit Svit,MBK Lučenec,
2003–04,MBK Lučenec,Chemosvit Svit,
2004–05,SPU Nitra,Baník Handlová,
2005–06,MBK Lučenec,Baník Handlová,
2006–07,Slávia TU Košice,Inter Bratislava,4–0
2007–08,Skanska Pezinok,Inter Bratislava,3–1
2008–09,SPU Nitra,AB Cosmetics Pezinok,3–2
2009–10,Basketbal Pezinok,SPU Nitra,3–2
2010–11,Astrum Levice,SPU Nitra,3–2
2011–12,BC Prievidza,Rieker Komárno,3–1
2012–13,Inter Bratislava,Rieker Komárno,4–3
2013–14,Inter Bratislava,Prievidza,4–0
2014–15,Rieker Komárno,Prievidza,4–3
2015–16,BC Prievidza,Rieker Komárno,4–1
2016–17,Inter Bratislava,Rieker Komárno,4–1
2017–18,Levickí Patrioti,Košice,4–1
2018–19,Inter Bratislava,Prievidza,4–0
2019–20,Not awarded due to the COVID-19 pandemic,Not awarded due to the COVID-19 pandemic,Not awarded due to the COVID-19 pandemic
2020–21,Spišskí Rytieri,Patrioti Levice,3–1
2021–22,Patrioti Levice,Lučenec,4–1
